Date,Open,High,Low,Close,Volume
2024-09-16,266.5494,268.1731,264.2566,265.1029,873500
2024-09-17,264.8863,264.9158,262.0621,262.7608,564100
2024-09-18,262.1114,262.2491,259.2871,260.5369,807200
2024-09-19,263.3808,263.3808,260.8124,261.7177,692600
2024-09-20,260.8616,261.7374,259.2183,260.6255,1639900
2024-09-23,261.6587,262.318,259.6217,261.0387,506700
2024-09-24,260.5172,261.0387,257.5749,260.5664,619000
2024-09-25,260.7631,261.9243,260.4581,260.9305,498000
2024-09-26,260.7731,261.9933,259.4151,260.7632,484700
2024-09-27,261.8161,262.2393,259.8776,260.035,752000
2024-09-30,260.035,264.168,258.6278,263.6858,794800
2024-10-01,264.9947,265.772,263.0954,264.3353,898300
2024-10-02,262.377,263.9121,260.6549,263.6858,557500
2024-10-03,262.7608,267.2677,261.5897,266.3526,1363500
2024-10-04,265.713,266.1558,259.7595,261.4324,761900
2024-10-07,261.3438,263.4595,260.2614,261.6981,567100
2024-10-08,263.0068,268.2715,263.0068,267.8779,563000
2024-10-09,267.8779,272.8473,267.1989,272.6407,609600
2024-10-10,271.5091,271.5583,262.1901,264.0008,666400
2024-10-11,265.772,265.772,262.7116,263.9515,484800
2024-10-14,264.0007,265.339,262.7608,264.9356,601800
2024-10-15,267.0021,269.0489,264.6207,265.2702,500700
2024-10-16,265.2702,267.0021,263.863,266.2837,597600
2024-10-17,266.4707,267.5138,262.3475,263.0068,486500
2024-10-18,263.0265,264.6993,262.1113,263.3512,439200
2024-10-21,263.3316,265.5555,262.4558,263.8138,432700
2024-10-22,262.5148,263.9811,260.9305,263.3217,378800
2024-10-23,261.5012,263.302,261.5012,262.3376,487700
2024-10-24,262.3377,263.7449,260.5467,260.7436,321400
2024-10-25,262.6625,264.5026,260.1433,260.4286,532400
2024-10-28,262.0031,263.8433,257.5257,258.6672,645700
2024-10-29,258.4507,261.4815,256.9648,259.4445,909600
2024-10-30,275.5337,275.5337,265.6539,271.2335,993900
2024-10-31,271.2335,274.0872,269.0686,270.338,1204800
2024-11-01,269.0292,271.6862,266.697,271.0859,1047100
2024-11-04,271.4893,274.0183,268.9209,272.7981,475100
2024-11-05,272.8375,276.7048,271.8436,275.2189,384400
2024-11-06,279.037,279.037,272.0306,274.6777,841500
2024-11-07,274.4317,276.8131,272.5423,275.8684,410300
2024-11-08,277.8266,282.6288,276.9213,280.4344,557000
2024-11-11,280.7492,283.79,280.2474,280.4639,692900
2024-11-12,281.8514,284.7839,280.2769,283.3275,925300
2024-11-13,283.5046,286.7716,282.0974,285.4136,514000
2024-11-14,284.8428,285.7777,280.8082,281.566,439200
2024-11-15,281.9202,281.9202,275.6715,276.321,522100
2024-11-18,276.2325,277.9742,275.1697,275.888,800000
2024-11-19,275.8881,278.9878,274.7859,277.1477,1028500
2024-11-20,277.1476,280.3064,274.7859,279.6668,507700
2024-11-21,281.3692,283.1897,278.7811,282.9732,518100
2024-11-22,283.111,286.7421,282.3139,286.0926,649700
2024-11-25,287.4604,288.5133,285.2955,286.8405,709300
2024-11-26,287.9033,291.377,286.87,290.0485,531500
2024-11-27,290.8653,291.8493,288.6512,289.8615,482500
2024-11-29,288.7594,291.4458,288.1591,289.5171,363200
2024-12-02,290.4618,290.6881,285.8269,288.0312,468000
2024-12-03,287.6769,287.7163,280.5327,284.4394,953800
2024-12-04,284.4788,288.3461,283.5735,287.0373,628700
2024-12-05,286.6043,286.9684,282.0186,284.2918,700300
2024-12-06,284.4788,286.2796,281.0641,282.4811,930500
2024-12-09,280.3654,281.684,276.8917,280.3654,878000
2024-12-10,280.7099,283.3963,277.7774,282.1072,699900
2024-12-11,283.9967,284.9709,279.4799,280.4738,557500
2024-12-12,280.4737,283.0126,279.3618,280.7493,423400
2024-12-13,279.2711,280.0693,277.6945,279.212,530300
2024-12-16,279.6061,280.5423,276.8372,277.251,808600
2024-12-17,277.251,278.3941,274.7284,276.1277,1343800
2024-12-18,275.8715,276.2953,271.4668,271.5358,805200
2024-12-19,269.8508,273.6938,269.8508,271.5555,908000
2024-12-20,270.3435,275.5266,269.2497,272.8168,1713900
2024-12-23,272.9548,273.142,270.1661,272.669,501100
2024-12-24,272.1467,274.9452,271.0332,274.4821,249800
2024-12-26,273.2109,275.3788,272.0481,274.3146,319700
2024-12-27,272.5015,274.7284,271.2007,273.2503,480100
2024-12-30,272.7577,274.3442,269.3088,271.7132,699900
2024-12-31,272.4128,273.7332,269.6241,271.4077,576000
2025-01-02,271.9497,273.7727,269.3975,269.3975,1013500
2025-01-03,269.5058,273.7135,268.8752,272.2452,791100
2025-01-06,270.0084,271.4668,268.1658,269.0132,860700
2025-01-07,268.826,269.9986,267.2887,269.5256,713700
2025-01-08,270.6982,276.5219,269.3285,276.3248,1101200
2025-01-10,274.492,276.2361,264.4902,264.707,1139600
2025-01-13,263.4949,271.6836,262.3026,271.4471,876000
2025-01-14,271.1022,272.265,267.6336,269.496,623500
2025-01-15,271.4767,272.4621,268.4121,269.8113,855700
2025-01-16,269.9887,275.0734,269.3876,274.4033,666900
2025-01-17,277.9408,277.9408,273.7135,274.4821,670700
2025-01-21,274.7285,276.6599,274.2949,275.9701,684300
2025-01-22,276.9456,278.0098,275.0734,275.2704,547900
2025-01-23,275.2704,275.7828,270.8066,273.9204,498500
2025-01-24,273.3785,275.8814,272.4818,274.8566,404500
2025-01-27,274.8565,282.2667,274.6004,281.2912,753800
2025-01-28,280.4142,281.5573,272.5705,277.7339,633300
2025-01-29,279.0248,280.5128,277.2215,278.4631,600600
2025-01-30,279.9313,284.1883,279.9313,283.8729,652200
2025-01-31,283.4394,285.627,282.316,283.2423,651400
2025-02-03,283.2916,288.396,280.0398,286.6912,763400
2025-02-04,286.6912,289.2434,284.4642,284.9766,704000
2025-02-05,286.4448,288.2974,284.3065,287.381,495200
2025-02-06,287.716,290.682,285.9324,290.6426,581500
2025-02-07,290.6426,291.9039,289.2828,289.4404,632200
2025-02-10,290.1203,290.9185,285.8732,289.7065,517000
2025-02-11,287.9131,290.1007,287.3908,290.0021,342700
2025-02-12,287.0755,289.6573,284.8485,288.7802,470400
2025-02-13,288.8295,292.2488,288.0806,291.1846,461900
2025-02-14,291.1846,292.6035,289.0462,289.1941,535500
2025-02-18,288.3072,291.2634,286.6517,289.0167,538400
2025-02-19,289.2237,292.5839,288.1003,291.5393,692700
2025-02-20,289.9036,289.9627,286.8094,288.4255,878500
2025-02-21,288.4255,292.0616,287.5682,290.8003,1165500
2025-02-24,290.8299,294.3477,290.8299,292.6726,719900
2025-02-25,292.6726,296.1116,291.2635,295.343,1136900
2025-02-26,260.115,291.4605,258.1738,283.8237,1574500
2025-02-27,285.9521,287.8441,283.528,285.8733,918100
2025-02-28,287.5189,293.2244,287.0262,292.574,1029600
2025-03-03,291.3126,297.836,288.8492,296.9294,990300
2025-03-04,297.4714,301.6298,294.9193,295.1656,955200
2025-03-05,291.8744,295.274,290.4259,292.5543,699600
2025-03-06,290.8988,293.3426,289.6966,291.0466,726800
2025-03-07,291.0466,296.7619,289.8543,296.0919,754100
2025-03-10,296.7225,301.1076,293.0766,293.6481,1645500
2025-03-11,294.5645,295.2642,286.0605,286.2872,1320100
2025-03-12,284.9667,285.7846,282.0007,283.8237,740400
2025-03-13,282.8678,285.5284,281.0941,285.2722,715100
2025-03-14,285.2722,286.2394,283.0121,284.8083,740700
2025-03-17,284.0681,287.7691,284.0681,287.2066,930800
2025-03-18,285.5584,286.2789,282.7555,285.1538,789400
2025-03-19,284.6307,287.631,284.6307,285.9532,784000
