Date,Open,High,Low,Close,Volume
2024-08-26,176.5947,179.2466,176.5947,178.2644,583000
2024-08-27,178.2644,178.6475,176.6046,178.5002,470200
2024-08-28,178.1368,179.4823,176.801,177.96,395100
2024-08-29,178.7653,180.4056,177.7537,178.7555,255200
2024-08-30,179.1288,181.2404,179.1288,180.6216,661500
2024-09-03,180.4547,183.9611,178.5591,181.6137,736800
2024-09-04,181.7315,182.2815,179.8948,181.594,468900
2024-09-05,181.6628,181.9181,178.5885,180.1698,415100
2024-09-06,180.6216,181.2601,177.8716,178.5984,528700
2024-09-09,178.4118,180.5529,177.6359,178.7162,927400
2024-09-10,179.4922,179.7377,177.1448,177.8912,584900
2024-09-11,177.8225,178.9716,174.7384,178.8145,650600
2024-09-12,178.7948,178.7948,174.9152,176.7617,1034200
2024-09-13,177.1644,179.9341,175.7304,179.5511,570100
2024-09-16,180.8475,184.0003,179.0109,179.2073,712900
2024-09-17,179.1975,180.4841,179.0403,179.6002,444800
2024-09-18,179.3841,179.8163,175.9072,176.0742,547200
2024-09-19,177.5573,181.0931,177.4492,179.168,652100
2024-09-20,178.4412,179.718,176.5751,177.9894,1828300
2024-09-23,178.4314,180.3466,177.6555,179.2957,491400
2024-09-24,180.4645,182.1342,179.3252,180.602,514100
2024-09-25,180.602,180.602,178.952,179.1877,683900
2024-09-26,179.5216,183.1851,179.5216,182.8708,707300
2024-09-27,183.411,187.3888,183.411,187.2415,586600
2024-09-30,186.9665,188.1156,185.5325,186.5736,572800
2024-10-01,184.845,185.4441,182.144,183.8039,539600
2024-10-02,183.1262,185.0218,182.4485,184.4128,428700
2024-10-03,183.3914,183.3914,181.2404,183.0771,406100
2024-10-04,184.1968,184.3736,182.1931,183.5682,356000
2024-10-07,183.5485,183.8235,181.0047,181.0833,545300
2024-10-08,181.5547,182.5173,180.5922,182.0851,387600
2024-10-09,182.0851,183.303,181.7119,182.694,429300
2024-10-10,182.5074,183.9021,181.4368,183.5289,441100
2024-10-11,184.0003,185.0807,182.6744,184.7468,532900
2024-10-14,185.1789,186.0825,184.2852,185.0316,440000
2024-10-15,184.6977,187.6737,184.5209,184.7173,461300
2024-10-16,184.7468,185.2772,182.4387,183.7253,418500
2024-10-17,183.3226,183.7057,181.1422,182.5664,1294300
2024-10-18,182.586,184.8843,182.5565,184.3736,420700
2024-10-21,183.7057,184.1378,182.1538,183.8333,454900
2024-10-22,183.0182,183.9119,181.8592,183.5583,528000
2024-10-23,183.2539,183.8825,182.1735,182.4387,556800
2024-10-24,182.4976,183.6075,181.4172,181.8199,677500
2024-10-25,183.6664,188.371,177.3608,178.0287,951100
2024-10-28,179.3939,181.1324,175.2885,175.8778,903200
2024-10-29,175.1804,176.968,175.151,175.5831,857000
2024-10-30,175.4161,176.4965,173.658,174.2277,784600
2024-10-31,174.1884,175.976,173.2553,173.6875,716500
2024-11-01,173.0196,174.6795,172.4892,173.5303,850300
2024-11-04,173.5402,174.7286,172.7642,174.6893,538100
2024-11-05,174.3456,176.1724,173.8643,175.9563,589700
2024-11-06,179.6984,183.3914,178.9618,183.2539,1110600
2024-11-07,183.2539,184.128,182.4583,182.6449,663500
2024-11-08,182.9494,183.2735,180.0324,180.2877,467400
2024-11-11,180.9261,183.2637,180.7886,181.8003,430900
2024-11-12,181.3288,181.8199,180.1207,180.7591,494100
2024-11-13,180.3859,181.8396,179.7868,181.6922,518200
2024-11-14,180.769,182.7137,180.1699,181.0735,650100
2024-11-15,181.0342,182.5271,177.1448,177.6555,666700
2024-11-18,176.8894,177.7733,175.1018,176.0054,628100
2024-11-19,174.3554,176.3001,173.4714,175.0724,476500
2024-11-20,174.817,180.0127,174.7777,178.176,477600
2024-11-21,179.0207,181.8494,177.4787,181.6038,456500
2024-11-22,181.6137,182.6842,177.4492,177.5475,651600
2024-11-25,179.3055,180.2681,177.7242,178.6671,1060500
2024-11-26,179.1975,182.0065,178.6082,181.8592,710400
2024-11-27,182.0262,191.6515,182.0262,188.2139,888800
2024-11-29,187.654,188.204,183.7843,183.8432,560500
2024-12-02,183.6664,189.4121,182.3405,189.0585,1041300
2024-12-03,188.6362,189.0487,184.4718,184.6387,729900
2024-12-04,184.8057,185.8861,182.1342,183.6664,505800
2024-12-05,183.8923,185.7191,182.3797,185.5914,583400
2024-12-06,186.4951,188.5281,186.2691,187.7326,441400
2024-12-09,190.8559,199.1258,190.2863,196.8865,848900
2024-12-10,197.2105,198.0061,193.3506,196.9552,526800
2024-12-11,197.5936,198.399,195.6194,196.4346,654400
2024-12-12,195.8846,197.2793,193.4881,195.5507,379300
2024-12-13,193.9792,195.1873,192.9283,193.881,428500
2024-12-16,193.1738,194.4015,191.5336,191.7202,468800
2024-12-17,191.0425,192.6827,190.1094,191.73,605000
2024-12-18,191.9166,192.4961,187.7424,188.0272,676100
2024-12-19,187.713,191.0229,187.713,189.9916,632000
2024-12-20,191.5041,197.4168,190.4925,195.2953,1730900
2024-12-23,196.4347,197.682,194.1855,196.3954,532900
2024-12-24,195.9828,198.0748,195.9828,197.8882,219200
2024-12-26,197.8097,199.4008,197.3284,199.116,368200
2024-12-27,200.6973,202.5241,198.3302,200.3142,569600
2024-12-30,200.825,202.5438,199.0276,201.4437,905800
2024-12-31,205.1662,205.8733,200.9723,203.2706,985200
2025-01-02,206.2564,206.4724,200.8544,201.4437,913500
2025-01-03,201.6402,202.5045,200.0294,201.9545,850200
2025-01-06,206.0992,208.3189,205.2742,206.9242,1213900
2025-01-07,208.2207,209.8708,204.8617,205.4903,872700
2025-01-08,204.4492,208.2698,203.3099,207.8966,767100
2025-01-10,207.2484,207.8573,203.2902,203.3884,635400
2025-01-13,202.8188,205.9224,202.0527,205.8242,758600
2025-01-14,206.551,208.7609,205.0385,205.2742,1094800
2025-01-15,206.2465,207.8573,205.8438,206.3546,599900
2025-01-16,205.9322,208.2305,205.7653,206.9341,466800
2025-01-17,208.7315,208.8002,205.5099,205.9814,503300
2025-01-21,206.06,207.7198,204.0465,206.6689,781800
2025-01-22,205.3626,205.9224,203.2411,203.4375,674500
2025-01-23,202.8188,203.9876,201.7089,202.9661,630100
2025-01-24,202.3474,207.1207,202.3375,206.9734,563300
2025-01-27,206.1975,210.961,206.0501,208.8984,715200
2025-01-28,209.2029,212.9646,208.2502,209.3699,655100
2025-01-29,210.1752,210.9512,209.0457,209.969,467400
2025-01-30,209.9886,212.4441,209.0948,210.1949,460400
2025-01-31,211.3833,213.7798,211.0985,211.1672,689500
2025-02-03,208.7413,212.5914,208.0145,212.1691,800900
2025-02-04,215.3906,215.6558,213.0235,214.6048,740600
2025-02-05,214.1138,218.1898,214.0843,216.9719,613400
2025-02-06,217.0603,218.288,214.9879,216.2549,939300
2025-02-07,213.7798,220.0068,212.5717,217.4433,1128500
2025-02-10,218.1407,219.7514,215.204,218.2782,609400
2025-02-11,217.7183,223.4444,216.6871,223.3266,843500
2025-02-12,221.6569,224.3775,220.4783,223.4346,933100
2025-02-13,223.7783,226.1945,223.631,225.2516,817300
2025-02-14,224.9177,225.507,222.4622,225.1534,730400
2025-02-18,225.8998,227.9034,224.7212,227.0588,1013600
2025-02-19,226.6561,228.3356,225.4088,227.599,670900
2025-02-20,226.6954,230.1035,226.6659,229.7107,794900
2025-02-21,229.7205,231.9893,227.5106,227.7365,978900
2025-02-24,228.3651,230.0446,227.1276,228.9937,1081400
2025-02-25,228.9347,234.7885,228.7481,233.993,1331700
2025-02-26,233.8161,235.5644,232.6179,232.8438,733400
2025-02-27,232.3232,235.6725,230.5062,230.8402,851700
2025-02-28,230.5161,233.7965,229.6223,233.6394,1329000
2025-03-03,233.6394,237.9118,233.5117,235.8787,1090500
2025-03-04,236.6546,237.7252,232.3724,232.8143,1059600
2025-03-05,231.3018,236.7725,231.3018,236.635,738100
2025-03-06,235.7707,237.3815,233.8751,235.6627,776900
2025-03-07,234.4447,237.1064,231.4098,236.1832,653300
2025-03-10,234.3465,237.8725,232.5098,234.759,789500
2025-03-11,234.4447,234.818,230.3,232.3232,918200
2025-03-12,234.1599,234.3563,230.3491,231.4,996100
2025-03-13,229.8285,231.3607,228.5124,229.3964,594000
2025-03-14,230.4375,234.7394,230.4375,234.101,570400
2025-03-17,232.7947,235.81,232.6768,234.268,783700
2025-03-18,233.826,235.6234,232.2742,235.5448,585300
2025-03-19,235.7019,238.1967,234.7492,237.8922,659500
2025-03-20,236.6252,238.7172,235.3091,237.9904,742100
2025-03-21,237.5288,241.2905,236.3796,240.1512,2031200
2025-03-24,242.3316,242.8914,240.161,240.986,832700
2025-03-25,241.4083,243.0584,239.886,241.428,657500
2025-03-26,241.8896,244.571,241.811,243.7066,568500
2025-03-27,243.8442,251.7801,243.5692,250.1988,884800
2025-03-28,249.1086,249.7274,246.3487,246.4469,746800
2025-03-31,245.504,250.0908,244.4433,249.3443,768400
2025-04-01,250.5327,253.1061,248.6371,250.4345,884500
2025-04-02,249.2068,252.4283,247.3701,250.9453,723700
2025-04-03,249.6979,254.0588,248.2934,250.8765,1450300
2025-04-04,242.3807,248.8533,235.368,235.918,1875300
2025-04-07,230.9089,236.1832,225.8998,230.3098,1532600
2025-04-08,235.093,237.6368,228.7383,231.292,1069300
2025-04-09,229.1508,241.1333,225.2516,240.269,1414900
2025-04-10,237.5779,240.2985,231.2723,238.5404,786300
2025-04-11,239.6503,244.6594,237.9216,242.7245,626300
2025-04-14,244.6594,244.6594,239.3458,242.8129,1023100
2025-04-15,243.412,246.7219,241.7619,245.7692,764000
2025-04-16,244.7477,246.5255,240.0333,241.5458,813000
2025-04-17,241.4084,243.5495,240.4458,242.2727,628300
2025-04-21,241.4771,242.1843,235.1323,237.0377,768200
2025-04-22,240.0431,243.9816,237.8332,243.6575,727500
2025-04-23,244.5317,247.7237,244.2174,246.8791,876600
2025-04-24,248.2737,251.564,245.6317,248.0871,1318000
2025-04-25,247.5077,271.7772,245.8478,267.9271,1387100
2025-04-28,270.0092,274.9496,268.2315,271.2664,1123900
2025-04-29,270.1271,274.262,270.1271,273.3977,887900
2025-04-30,273.3094,277.4541,270.3137,277.0907,1248100
2025-05-01,277.68,278.5738,273.1227,274.7139,1239500
2025-05-02,275.6273,279.3497,275.6273,279.0256,1190400
2025-05-05,277.0711,280.6364,276.3835,279.4774,1027100
2025-05-06,277.955,280.0864,277.0613,278.1711,1096200
2025-05-07,278.1613,283.799,277.9157,282.257,1188100
2025-05-08,282.8168,282.8953,279.3792,280.1256,923500
2025-05-09,279.6444,280.2239,275.4996,276.3934,953900
2025-05-12,279.7229,279.9193,269.5574,274.6058,1738700
2025-05-13,275.1558,277.3461,270.6967,271.0307,880900
2025-05-14,270.52,272.1308,269.3905,271.4727,748400
2025-05-15,271.728,276.7273,271.512,276.6193,794200
2025-05-16,275.4996,278.3381,274.6648,278.0926,710400
2025-05-19,277.7281,279.7766,277.3933,278.2107,488700
2025-05-20,277.5115,278.713,274.1433,276.5857,888100
2025-05-21,275.1872,277.7281,275.069,276.822,786700
2025-05-22,276.6743,278.4864,275.4039,277.5902,907900
2025-05-23,276.1426,277.8266,274.8622,275.5221,556600
2025-05-27,277.7281,278.5652,261.222,265.4766,1191800
2025-05-28,264.4227,268.1849,264.4227,265.0629,700700
2025-05-29,265.1023,265.5258,261.9902,264.6099,720300
2025-05-30,264.4031,268.697,263.9599,268.3425,1539300
2025-06-02,266.8948,271.5827,265.9099,271.3857,675100
2025-06-03,271.2675,272.4395,266.166,271.5827,857500
2025-06-04,270.8932,272.0849,269.7114,270.3318,582200
2025-06-05,271.2872,275.3842,269.6524,273.6804,708100
2025-06-06,273.7395,281.185,273.2175,280.7024,670900
2025-06-09,279.8948,281.1751,274.2418,275.6403,965600
2025-06-10,276.2705,276.2705,270.3713,274.2713,660700
2025-06-11,273.9463,276.3296,273.6016,275.591,501000
2025-06-12,275.9456,277.8266,273.7296,277.541,676400
2025-06-13,275.4039,277.8365,274.7145,275.6599,427300
2025-06-16,276.8023,278.2895,274.6061,276.822,427100
2025-06-17,276.4281,281.1751,275.2857,279.6584,768500
2025-06-18,279.4812,280.1312,275.5221,276.9008,682700
2025-06-20,277.7281,278.7524,274.1432,276.4774,1026500
2025-06-23,276.2114,279.5599,274.872,278.6046,651700
2025-06-24,279.6288,280.8895,276.5167,280.7122,572100
2025-06-25,280.1115,280.2888,277.6395,278.1615,419600
2025-06-26,279.6584,279.9145,276.5364,278.9198,512600
2025-06-27,277.8069,283.9721,277.7281,283.3221,1059400
2025-06-30,283.9327,285.9812,282.5244,284.4251,833100
2025-07-01,285.7744,285.9713,279.3531,284.7009,650300
2025-07-02,281.8744,283.1547,272.8039,277.7478,956700
2025-07-03,278.713,282.2289,277.6986,281.9827,439100
2025-07-07,281.6577,284.6221,281.6577,283.1349,573600
2025-07-08,282.7509,282.9577,276.8418,282.5047,778000
2025-07-09,282.7115,287.1236,280.4857,285.3706,694700
2025-07-10,284.3759,285.5675,279.8948,280.9683,580100
2025-07-11,279.9145,280.3183,276.1918,277.1274,532600
2025-07-14,276.7827,280.6827,276.7433,278.5258,548800
2025-07-15,278.5554,278.5554,275.9948,277.2258,465000
2025-07-16,277.1963,279.1069,274.4879,278.9789,541400
2025-07-17,277.7577,278.9986,275.069,276.6054,499800
2025-07-18,276.6054,279.3827,274.9312,279.1365,359400
2025-07-21,279.3532,281.4115,276.9501,279.8653,475400
2025-07-22,280.0819,284.0016,278.9986,283.5584,610500
2025-07-23,282.3372,285.5577,279.5895,284.9766,675700
2025-07-24,284.6024,285.5971,282.0516,282.3274,825800
2025-07-25,290.5312,303.3343,283.7554,301.1577,1260100
2025-07-28,300.3797,305.8949,300.2221,301.3449,487200
2025-07-29,283.6372,283.6372,269.1205,273.2668,3755700
2025-07-30,272.8433,273.0501,259.9417,262.9357,3035600
2025-07-31,263.6841,265.0432,260.7,264.797,2233100
2025-08-01,264.1076,264.7576,260.05,261.35,1337300
2025-08-04,262.6205,264.6296,258.5826,264.2258,1194700
2025-08-05,265.4175,266.4023,259.922,264.1667,939700
2025-08-06,264.0289,269.2387,262.0887,269.0811,895300
2025-08-07,270.2827,271.238,266.5698,269.8395,952800
2025-08-08,269.4652,271.7403,265.7425,267.7713,613100
2025-08-11,267.1902,269.6327,262.9948,263.369,1230000
2025-08-12,260.4932,263.369,257.9129,259.0356,1300400
2025-08-13,259.0356,264.8167,257.2728,263.4478,811900
2025-08-14,263.0341,263.6448,260.2962,262.7781,859700
2025-08-15,262.9061,266.7667,261.9705,265.8016,1296400
2025-08-18,266.4319,266.7471,262.069,263.5955,560800
2025-08-19,264.2968,266.282,262.9436,265.9166,625500
2025-08-20,265.9166,268.4648,264.9881,268.0796,668800
2025-08-21,267.7043,269.818,266.687,268.8895,477800
2025-08-22,269.0575,270.134,264.5733,266.2326,508900
2025-08-25,266.7759,268.2969,262.9041,263.1115,693100
2025-08-26,263.6647,266.924,262.5979,266.6672,1189400
2025-08-27,267.2401,269.6402,267.1413,269.0179,654600
2025-08-28,269.1365,270.4402,268.1191,268.6525,726300
2025-08-29,267.6352,270.0155,267.6352,270.0056,826700
2025-09-02,267.1314,271.181,266.1833,269.8377,606400
2025-09-03,270.0945,271.0329,267.3883,270.7365,425800
2025-09-04,270.6279,274.0651,268.1389,273.67,448100
2025-09-05,273.8675,276.7911,273.8675,276.6429,682600
