Date,Open,High,Low,Close,Volume
2024-08-29,491.19,497.5,487.93,493.35,706700
2024-08-30,495.67,500.25,492.29,495.89,1809700
2024-09-03,492.65,493.0,474.58,475.7,1783000
2024-09-04,476.82,480.14,472.83,478.57,872200
2024-09-05,477.73,477.73,463.41,468.57,833000
2024-09-06,467.92,471.89,463.04,468.0,1090400
2024-09-09,472.23,473.68,468.97,471.11,775600
2024-09-10,471.53,473.11,466.03,470.78,720100
2024-09-11,469.07,476.11,460.69,474.74,947500
2024-09-12,474.74,479.51,468.46,478.65,738200
2024-09-13,480.0,486.06,478.75,485.37,700900
2024-09-16,490.0,490.15,483.95,489.43,695500
2024-09-17,486.42,487.23,477.17,481.26,1266100
2024-09-18,483.78,483.78,473.75,474.16,868200
2024-09-19,477.7,483.98,476.27,477.9,939900
2024-09-20,474.36,474.93,463.81,464.92,2238600
2024-09-23,464.92,465.75,458.55,460.0,975000
2024-09-24,459.59,466.09,456.07,462.99,1416400
2024-09-25,463.09,464.88,458.54,461.76,778200
2024-09-26,462.08,465.32,458.1,463.15,948200
2024-09-27,466.01,467.57,461.49,462.88,710700
2024-09-30,463.16,467.57,461.41,465.08,808000
2024-10-01,472.0,472.31,461.36,469.76,1128900
2024-10-02,462.6,468.07,460.55,462.14,897200
2024-10-03,460.0,462.13,452.26,453.55,992700
2024-10-04,454.98,458.14,452.62,455.31,781800
2024-10-07,454.17,454.36,447.7,448.6,914100
2024-10-08,452.03,459.87,451.11,458.94,1315500
2024-10-09,460.0,468.16,456.16,467.97,1007000
2024-10-10,467.49,477.0,464.85,476.15,1083300
2024-10-11,478.53,482.89,475.87,481.71,940300
2024-10-14,481.64,487.09,478.9,484.82,743900
2024-10-15,487.01,488.0,480.79,484.3,1251000
2024-10-16,480.82,488.48,480.7,487.25,725100
2024-10-17,490.0,499.09,487.96,498.73,1018900
2024-10-18,498.3,498.63,480.79,483.0,2260100
2024-10-21,480.17,487.88,477.66,478.09,689500
2024-10-22,479.43,482.87,473.58,474.91,1132500
2024-10-23,474.47,477.47,464.78,470.05,991300
2024-10-24,473.35,477.84,471.87,471.91,674000
2024-10-25,477.2,480.41,475.05,477.7,1019700
2024-10-28,477.95,478.32,474.69,476.37,501200
2024-10-29,476.33,478.06,469.62,470.36,999500
2024-10-30,470.44,475.46,468.47,475.08,722000
2024-10-31,471.58,477.7,468.98,475.98,1376000
2024-11-01,471.06,475.73,463.14,471.12,1352700
2024-11-04,473.91,475.48,468.77,472.8,1248000
2024-11-05,483.0,503.21,474.0,499.88,1722900
2024-11-06,505.35,506.65,485.29,493.64,1648700
2024-11-07,493.7,504.31,486.64,502.45,992300
2024-11-08,507.17,519.88,504.94,516.74,1259300
2024-11-11,518.27,518.35,500.13,501.72,1335500
2024-11-12,503.0,508.04,489.02,490.0,1364300
2024-11-13,491.34,498.25,491.03,494.61,1079500
2024-11-14,495.62,496.33,483.55,483.96,1231500
2024-11-15,478.56,479.94,458.1,465.7,2581300
2024-11-18,465.19,468.88,458.05,467.01,1128700
2024-11-19,462.8,463.9,447.14,448.01,2192600
2024-11-20,448.46,451.76,445.38,451.23,1651100
2024-11-21,454.24,455.43,445.0,450.37,1507700
2024-11-22,454.3,457.54,449.04,450.97,1270400
2024-11-25,456.58,462.95,455.83,461.71,2168200
2024-11-26,464.0,467.96,459.07,467.07,1327700
2024-11-27,464.81,470.42,462.01,464.56,1006900
2024-11-29,463.6,470.93,462.33,468.13,770600
2024-12-02,467.48,468.19,463.05,465.73,960000
2024-12-03,462.86,468.51,455.01,456.97,1181700
2024-12-04,454.72,464.87,450.0,463.98,1220600
2024-12-05,461.35,467.06,457.96,459.92,1183800
2024-12-06,458.06,465.91,456.86,462.1,1115300
2024-12-09,467.33,476.02,467.0,473.98,1260600
2024-12-10,473.3,476.46,465.12,469.22,865000
2024-12-11,472.31,472.33,460.74,468.29,1043800
2024-12-12,466.52,470.25,460.05,464.12,958600
2024-12-13,462.33,466.71,459.79,463.73,1097100
2024-12-16,463.37,470.08,462.13,468.09,1511300
2024-12-17,468.07,474.19,465.62,469.24,1304600
2024-12-18,467.06,471.05,445.87,447.5,1760900
2024-12-19,391.0,404.04,377.85,396.64,8207400
2024-12-20,395.72,401.31,386.49,397.27,6203100
2024-12-23,391.87,405.93,390.92,405.27,2204300
2024-12-24,401.53,410.68,401.27,408.18,1468600
2024-12-26,407.2,411.29,406.02,410.65,1191500
2024-12-27,405.26,410.98,404.49,408.76,1373400
2024-12-30,404.54,407.35,399.06,399.35,1456000
2024-12-31,399.63,404.99,399.63,402.7,1048100
2025-01-02,403.14,409.6,402.72,405.76,1277700
2025-01-03,407.57,411.65,406.4,407.11,1086900
2025-01-06,401.31,404.74,399.0,402.49,2176400
2025-01-07,403.0,410.81,401.54,408.32,1679900
2025-01-08,410.71,412.36,407.24,412.11,1173900
2025-01-10,406.17,413.52,405.17,409.56,1687900
2025-01-13,408.0,416.55,397.25,413.37,1859600
2025-01-14,411.94,414.5,408.02,411.66,1376400
2025-01-15,415.13,425.49,415.13,424.26,1722100
2025-01-16,423.41,424.58,415.15,416.96,1226100
2025-01-17,422.73,428.25,419.27,422.0,1773600
2025-01-21,427.94,430.53,423.49,427.89,1561100
2025-01-22,427.89,432.6,424.65,428.0,1215400
2025-01-23,429.25,442.89,424.54,439.73,1658000
