Date,Open,High,Low,Close,Volume
2024-08-07,10.5099,10.6753,10.3997,10.4364,11623800
2024-08-08,10.9142,11.7318,10.9142,11.1163,17115800
2024-08-09,11.0887,11.0887,10.7764,10.8223,8300200
2024-08-12,10.8131,10.8131,10.5283,10.6294,6972400
2024-08-13,10.6386,10.6477,10.4732,10.6294,6681200
2024-08-14,10.5467,10.5559,10.2251,10.4732,11161000
2024-08-15,10.5099,10.7672,10.5099,10.7212,10020800
2024-08-16,10.7212,10.8682,10.7029,10.7121,11491400
2024-08-19,10.7764,10.8958,10.7029,10.8682,4983800
2024-08-20,10.8131,10.8866,10.6937,10.7121,5449600
2024-08-21,10.7304,10.8039,10.6202,10.7672,8580200
2024-08-22,10.758,10.8591,10.7121,10.7488,4631600
2024-08-23,10.7674,10.9344,10.7395,10.9159,6060200
2024-08-26,10.9159,11.0087,10.8602,10.9066,6090600
2024-08-27,10.888,10.9159,10.7859,10.8509,4466400
2024-08-28,10.8416,11.0737,10.8138,11.0458,6583600
2024-08-29,11.0551,11.1015,10.9344,11.0366,4033800
2024-08-30,11.0737,11.2315,11.0737,11.2129,6717100
2024-09-03,11.0366,11.1294,10.9901,11.0366,5801900
2024-09-04,11.0458,11.0551,10.8788,10.9345,6281500
2024-09-05,10.9901,11.0458,10.8045,10.8323,5034200
2024-09-06,10.8509,10.9344,10.359,10.4611,9593400
2024-09-09,10.4703,10.656,10.3033,10.3311,9489200
2024-09-10,10.3311,10.3868,10.0712,10.3682,10988100
2024-09-11,10.3033,10.591,10.2012,10.526,9510900
2024-09-12,10.5632,10.9252,10.5446,10.9066,8430800
2024-09-13,10.9252,11.0737,10.7859,10.8231,4802900
2024-09-16,10.8973,10.9716,10.7302,10.9623,6201800
2024-09-17,10.9344,10.9809,10.8323,10.9716,7437600
2024-09-18,10.953,11.1572,10.8509,11.0458,6424700
2024-09-19,11.1387,11.25,10.9901,11.0458,7905900
2024-09-20,10.888,10.9159,10.4146,10.5724,48176100
2024-09-23,10.6189,10.8138,10.6003,10.6467,11824600
2024-09-24,10.6931,10.7674,10.6003,10.6281,10061300
