Date,Open,High,Low,Close,Volume
2024-08-14,154.9309,155.4465,153.6022,154.7623,856900.0
2024-08-15,156.6562,158.4608,155.1094,156.9438,1679900.0
2024-08-16,157.3106,158.4112,156.9041,157.965,1268200.0
2024-08-19,157.9254,159.611,157.3503,159.611,683700.0
2024-08-20,159.9184,160.2754,157.3503,158.7781,1068400.0
2024-08-21,159.4028,160.6224,158.5699,160.0969,486200.0
2024-08-22,159.7796,161.9709,159.0062,161.8519,2214500.0
2024-08-23,162.5361,164.9853,162.1891,164.9159,682900.0
2024-08-26,165.3323,166.0859,162.0998,163.835,1866300.0
2024-08-27,163.0418,164.1325,162.9328,163.4186,676000.0
2024-08-28,163.9937,164.5192,162.6551,164.1325,500700.0
2024-08-29,164.9159,168.0888,164.2118,166.4528,1055000.0
2024-08-30,166.8593,168.4954,164.7374,168.1384,891700.0
2024-09-03,167.3352,167.3352,162.1395,162.7344,817500.0
2024-09-04,162.1296,163.4682,161.5446,162.6551,871900.0
2024-09-05,162.3378,162.8832,160.6423,162.1693,639800.0
2024-09-06,162.1891,163.7161,159.4028,159.5119,746900.0
2024-09-09,160.9695,163.0716,160.3547,161.3463,991100.0
2024-09-10,161.9809,163.2104,160.6422,162.5956,839700.0
2024-09-11,162.1891,163.5475,158.0444,163.3988,730400.0
2024-09-12,163.4384,166.4032,162.7741,166.3139,863800.0
2024-09-13,166.3834,170.5479,166.3834,167.5534,1002100.0
2024-09-16,168.5152,169.5266,167.8905,168.7532,1513900.0
2024-09-17,169.3977,173.0268,168.9614,172.6599,1341100.0
2024-09-18,172.9177,174.2861,170.4091,172.2534,1553500.0
2024-09-19,175.2082,177.4491,174.0778,176.7352,1155100.0
2024-09-20,176.2791,177.7665,175.1587,177.707,1828000.0
2024-09-23,177.7169,179.2042,176.4973,177.8061,990200.0
2024-09-24,178.758,179.2637,177.3202,179.0951,1138100.0
2024-09-25,179.9578,180.6023,178.8472,180.3247,1092700.0
2024-09-26,181.7128,182.5557,179.6802,180.7312,1074000.0
2024-09-27,180.9593,182.159,179.6802,180.7312,1229900.0
2024-09-30,181.1774,181.455,178.6787,180.2354,1359300.0
2024-10-01,180.166,180.6717,177.7863,179.9181,744900.0
2024-10-02,178.5101,180.4139,177.6574,179.6901,551600.0
2024-10-03,178.9662,180.0173,177.5285,178.8274,475900.0
2024-10-04,180.8006,181.8616,179.4124,181.7525,610000.0
2024-10-07,180.9295,182.8432,179.8091,180.5131,738700.0
2024-10-08,180.9097,181.2567,179.3926,180.4536,899900.0
2024-10-09,180.3544,182.873,180.2652,182.6647,1265800.0
2024-10-10,181.9707,182.6152,180.9593,182.4565,999400.0
2024-10-11,182.9424,186.4525,182.1491,186.3633,705700.0
2024-10-14,185.7485,187.5928,185.1337,186.7797,621500.0
2024-10-15,187.1168,188.3166,185.5204,185.6691,846700.0
2024-10-16,185.6692,188.9116,185.6692,188.1679,521200.0
2024-10-17,188.6934,189.3875,188.039,188.386,674600.0
2024-10-18,188.6835,189.8139,187.7713,189.5362,733800.0
2024-10-21,189.8833,190.855,188.1084,188.3662,1037000.0
2024-10-22,188.0786,188.5447,186.274,188.1084,899000.0
2024-10-23,185.7088,188.0092,183.7158,185.7584,1910800.0
2024-10-24,187.2655,187.6721,184.7668,187.4837,1397200.0
2024-10-25,188.3959,189.3577,186.6211,187.1664,1147100.0
2024-10-28,187.7019,190.7459,187.7019,189.2388,916100.0
2024-10-29,188.5744,190.27,188.1877,188.4852,1035400.0
2024-10-30,187.0772,188.3067,186.0162,187.7316,884100.0
2024-10-31,186.6508,187.7712,185.2725,186.393,896500.0
2024-11-01,186.5616,187.7019,185.1139,185.2626,771100.0
2024-11-04,185.2924,187.4936,185.1238,187.2061,681100.0
2024-11-05,187.4639,191.3706,186.7103,191.0732,1212200.0
