Date,Open,High,Low,Close,Volume
2024-09-23,50.4181,50.6512,49.8539,49.8615,3847549
2024-09-24,49.8615,50.2902,48.2819,49.9893,8797950
2024-09-25,49.5756,49.8991,49.0867,49.6433,5016022
2024-09-26,52.8927,53.7276,51.5313,52.998,11688573
2024-09-27,52.998,52.998,51.772,52.2158,5413451
2024-09-30,51.8171,52.3211,51.1326,51.3658,7047621
2024-10-01,51.2154,51.3508,50.0044,50.215,4617402
2024-10-02,50.1172,51.2229,49.9592,50.0345,5065502
2024-10-03,49.6433,50.907,49.5079,50.0796,5244769
2024-10-04,51.0348,51.1176,49.5606,49.9066,6039230
2024-10-07,49.8464,50.6061,49.5455,49.9743,4314832
2024-10-08,50.0495,50.2075,49.4026,49.7712,5125831
2024-10-09,49.4628,49.523,48.2593,48.5,5869754
2024-10-10,47.8456,48.8159,47.7253,48.1766,4646111
2024-10-11,47.9359,49.1695,47.8983,48.8009,5353255
2024-10-14,49.2221,50.3128,49.192,50.2676,5856656
2024-10-15,50.3955,51.6892,50.2827,50.3579,7904396
2024-10-16,50.3955,51.1928,50.0345,50.9897,5876105
2024-10-17,51.7494,51.8698,50.5083,50.6588,4825907
2024-10-18,51.0875,51.2981,50.1398,50.4181,3901659
2024-10-21,50.1473,50.8919,49.696,50.5911,6713696
2024-10-22,50.2526,51.2755,49.6132,50.9671,8320744
2024-10-23,50.4858,50.9897,49.5907,50.1022,7245145
2024-10-24,50.6287,50.8017,49.7938,49.884,11646501
2024-10-25,54.5926,55.2846,52.1405,52.2383,23343541
2024-10-28,52.3587,53.4945,51.3508,52.4339,10454346
2024-10-29,52.5467,52.652,50.9672,51.3733,8270205
2024-10-30,50.9822,52.0653,50.3729,50.4105,6203812
2024-10-31,50.0269,50.7415,48.8912,49.1243,6048888
2024-11-01,49.4553,50.4782,49.3425,49.5531,5059681
2024-11-04,49.3801,50.0119,48.9739,49.0566,3578583
2024-11-05,49.2672,50.4933,49.2672,50.2676,5521276
2024-11-06,51.7945,52.7949,51.3432,52.5843,7572984
2024-11-07,53.0281,53.5772,52.4264,52.983,4984535
2024-11-08,52.652,52.983,52.0352,52.3587,4653520
2024-11-11,52.7047,52.7573,50.6061,50.6813,5891451
2024-11-12,49.7938,50.0269,47.4244,48.1089,11215071
2024-11-13,47.9509,47.9509,46.8603,47.1837,5995836
2024-11-14,47.1988,47.9058,47.1762,47.5523,4804210
2024-11-15,46.9731,47.4771,46.8603,47.2364,4633014
2024-11-18,47.274,48.6505,47.0784,48.5752,4801299
2024-11-19,48.1315,49.1995,47.9058,49.1093,3792512
2024-11-20,49.3801,49.4026,47.2514,48.0186,5063915
2024-11-21,48.4925,50.0269,48.0638,49.5531,5344259
2024-11-22,49.9517,50.2601,49.523,49.9668,6854331
2024-11-25,50.4707,52.5994,50.4406,52.2233,11667537
2024-11-26,52.1781,55.089,52.1706,54.9236,14193276
2024-11-27,54.9386,55.2696,53.1033,53.7803,13606394
2024-11-29,54.1564,55.3974,53.9081,54.901,3646585
2024-12-02,55.0439,55.6005,54.6603,55.232,7134410
2024-12-03,54.9913,55.7434,52.7949,53.9232,7114697
2024-12-04,54.6001,54.6001,53.0958,54.4121,5517042
2024-12-05,54.4196,55.5328,54.1112,54.2391,4122600
2024-12-06,54.4647,54.6678,53.156,53.4568,4975009
2024-12-09,53.3816,54.0059,53.1334,53.2086,4133846
2024-12-10,53.2538,53.3967,51.3808,51.7645,4366165
2024-12-11,52.4264,52.9529,52.0202,52.5768,3414398
2024-12-12,52.5768,52.6821,48.8836,49.6358,13066345
2024-12-13,49.8163,49.8464,48.6655,48.9814,10579502
2024-12-16,48.5376,50.0946,48.1766,49.1168,7134807
2024-12-17,49.0416,49.6509,48.5677,48.6204,5183646
2024-12-18,49.9743,50.5459,47.462,47.793,7343047
2024-12-19,46.5745,46.8678,44.6865,44.8445,17911965
2024-12-20,44.5361,46.2209,44.3706,45.3108,16844965
2024-12-23,45.1378,46.3413,45.1378,46.3037,5439118
2024-12-24,46.1532,46.4466,45.9727,46.409,2000508
2024-12-26,46.2661,46.7851,46.236,46.4165,2839158
2024-12-27,46.1608,46.3413,45.4312,45.6568,5506061
2024-12-30,44.8746,45.2356,44.2427,44.8445,5834562
2024-12-31,44.8821,45.4763,44.6564,44.852,5206137
2025-01-02,45.025,47.274,45.025,46.5369,6975650
2025-01-03,46.6723,48.2292,46.6723,48.1916,5484232
2025-01-06,49.1168,50.749,49.0942,49.3801,8775194
2025-01-07,49.538,50.1172,48.7332,48.7934,5982209
2025-01-08,48.2142,48.7783,47.6802,48.1841,6107762
2025-01-10,47.4695,47.9735,46.1006,47.2514,6156316
2025-01-13,46.4541,47.3266,46.1533,46.6497,5228231
2025-01-14,46.9882,47.5372,46.5669,47.1912,5924923
2025-01-15,48.1841,49.4628,48.139,48.6129,6624129
2025-01-16,48.3947,48.9363,47.6952,48.327,7025527
2025-01-17,49.1394,49.8991,47.9886,48.9212,9473342
2025-01-21,49.365,51.2906,49.1093,50.7189,9321329
2025-01-22,51.5238,53.0206,51.3583,51.6215,12357482
2025-01-23,50.8543,51.8848,50.7415,51.6591,9339719
2025-01-24,51.8321,52.2308,50.6663,50.7039,7999520
2025-01-27,49.35,49.35,47.3417,48.4399,10044348
2025-01-28,48.5677,48.658,46.4993,47.289,9649036
2025-01-29,47.9359,48.2518,46.928,47.2364,14111912
2025-01-30,49.9818,50.8393,47.9133,49.4778,21901207
2025-01-31,49.0416,51.1176,48.7633,48.9889,10873605
2025-02-03,48.1616,49.8539,47.793,48.4549,8414015
2025-02-04,48.0111,49.0867,47.62,47.9961,6841233
2025-02-05,47.9961,49.0867,47.6952,48.6805,7064291
2025-02-06,48.8235,49.2447,48.2593,48.5,4065844
2025-02-07,48.6956,49.3049,47.8156,48.485,5050420
2025-02-10,49.3425,52.1706,49.2597,51.9299,13865305
2025-02-11,51.7494,53.1785,51.2003,51.8397,12215656
2025-02-12,51.3131,51.9149,49.869,50.6061,10940549
2025-02-13,50.6663,51.3583,50.1473,50.8167,7400465
2025-02-14,51.0499,51.8021,50.749,51.441,7511862
2025-02-18,52.81,54.2241,52.5693,54.1789,12388043
2025-02-19,53.9006,54.3519,53.5396,53.7803,6930271
2025-02-20,53.7803,53.9683,52.5843,53.6223,6119404
2025-02-21,53.9006,53.9006,50.9747,51.6817,11982940
2025-02-24,52.3534,52.4131,47.9948,48.7809,18354400
2025-02-25,48.4724,50.8806,48.4724,48.8307,11679700
2025-02-26,49.5273,50.4627,48.5322,49.9154,8546700
2025-02-27,50.2438,51.2289,47.8754,47.9649,9392100
2025-02-28,48.0943,49.8358,47.7659,48.6914,9268600
2025-03-03,49.2984,49.587,46.2732,46.7807,8841500
2025-03-04,45.9846,46.124,44.0342,44.4123,11765400
2025-03-05,44.4422,44.472,43.0391,43.9844,7615500
2025-03-06,42.7107,42.9097,41.1583,41.2479,11790200
2025-03-07,41.2877,42.2728,40.2129,41.4966,12084700
2025-03-10,40.4816,40.6906,39.2277,40.3423,10563700
2025-03-11,40.203,42.6311,40.1134,41.5961,9283700
2025-03-12,42.4022,43.4869,42.0539,42.7505,5998300
2025-03-13,42.3624,42.8301,41.5066,41.825,5495100
2025-03-14,42.9794,44.6313,42.7405,44.3128,7882100
2025-03-17,44.3427,45.2184,44.2034,44.5318,5734100
2025-03-18,44.3228,44.3427,43.457,44.1238,5205800
2025-03-19,44.1536,45.2084,43.9347,44.681,3603100
2025-03-20,44.0441,45.3079,44.0342,44.2929,4910100
2025-03-21,43.676,43.8949,42.9694,43.4471,7712800
2025-03-24,44.482,44.6412,43.2381,44.0939,5619600
2025-03-25,43.875,44.0641,42.3325,43.1784,8749500
2025-03-26,43.2878,43.4172,42.0041,42.4121,7243700
2025-03-27,41.9942,42.7007,41.6559,41.7056,4909700
2025-03-28,41.1981,41.7852,40.2925,40.4219,4640100
2025-03-31,39.5959,40.3124,38.9093,40.2328,8212200
2025-04-01,39.9044,40.7702,39.6557,40.6906,5292700
2025-04-02,40.1234,42.0241,40.0637,41.5762,5017500
2025-04-03,38.571,38.7103,33.8441,33.9835,21307200
2025-04-04,32.5505,32.9386,29.6149,30.3911,22939100
2025-04-07,29.4755,33.2471,28.6894,31.008,14472100
2025-04-08,32.4908,34.6104,30.5702,31.3961,17547200
2025-04-09,31.1872,37.1878,30.4209,36.123,20134800
2025-04-10,35.6254,35.9438,33.5456,34.6999,15245500
2025-04-11,34.1924,34.899,33.257,34.2322,8654100
2025-04-14,36.2822,36.4414,35.1079,35.6453,9947400
2025-04-15,35.6354,36.1528,35.307,35.7548,6199500
2025-04-16,35.6155,36.0732,34.8293,35.4463,7265300
2025-04-17,36.0036,36.521,35.3368,36.3319,7393300
2025-04-21,35.914,36.1031,35.3368,35.7846,6676600
2025-04-22,36.1827,36.8196,35.8045,36.5011,5086900
2025-04-23,38.1431,38.9093,37.2873,37.5161,5526000
2025-04-24,38.0435,40.1632,38.0037,39.9741,5943900
2025-04-25,40.004,40.8697,39.7054,40.5811,4158500
2025-04-28,40.392,40.9294,39.984,40.7105,5916400
2025-04-29,40.5115,41.0488,40.392,40.4219,6871700
2025-04-30,42.7704,43.8551,41.626,43.6461,15906000
2025-05-01,44.482,44.9298,43.6461,43.7357,9378300
2025-05-02,44.7706,45.1587,44.2631,44.472,8263300
2025-05-05,43.7357,45.3876,43.7357,44.8104,7522000
2025-05-06,44.3626,44.691,43.8949,44.074,4952400
2025-05-07,44.1934,44.4422,43.3874,44.084,7564600
2025-05-08,44.7308,44.9099,43.9546,44.084,5320500
2025-05-09,44.4422,45.0094,43.666,43.8849,4960100
2025-05-12,46.6514,47.2584,46.1737,46.3429,6957400
2025-05-13,46.8205,49.6268,46.4523,48.771,8113500
2025-05-14,48.5919,49.5969,48.3431,48.9601,8649600
2025-05-15,48.9302,49.5273,48.572,49.5074,8249400
2025-05-16,49.7562,50.0248,49.2984,49.7462,4955600
2025-05-19,48.8207,50.5522,48.7809,50.4726,5283200
2025-05-20,50.4726,51.3384,50.1044,50.3831,4930400
2025-05-21,49.8855,51.01,49.0894,49.2486,7278800
2025-05-22,49.3183,50.8408,49.0397,49.5969,5802900
2025-05-23,48.98,50.1443,48.761,49.9353,5763200
2025-05-27,50.8209,51.7365,50.3731,51.5673,6374500
2025-05-28,51.5175,52.5326,51.3882,52.0947,6782100
2025-05-29,52.9605,53.0898,51.7364,52.2937,4570900
2025-05-30,51.7763,52.1544,51.0001,51.2986,7402800
2025-06-02,51.1792,52.1544,50.9204,51.9355,4214600
2025-06-03,52.0847,53.657,51.627,53.5078,5635300
2025-06-04,53.8368,54.5945,53.3084,54.2655,4739600
2025-06-05,54.7141,55.4419,54.0561,54.8836,10981500
2025-06-06,55.741,56.5785,55.2525,55.2824,5952100
2025-06-09,56.3591,57.2863,55.9105,56.8476,6549900
2025-06-10,57.0271,57.2165,55.402,55.7809,7168100
2025-06-11,56.2395,56.6682,55.0132,55.5017,4411400
2025-06-12,55.1129,55.8806,54.9634,55.6114,3608800
2025-06-13,54.6842,56.0999,54.435,55.5316,10554500
2025-06-16,56.3192,57.5156,56.0999,57.2365,5552500
2025-06-17,57.9044,60.4069,57.705,58.393,9616500
2025-06-18,58.5126,59.7488,58.3531,59.0111,6647400
2025-06-20,59.699,59.7588,58.7918,59.1108,9426300
2025-06-23,58.8217,60.3271,58.4827,60.1975,4627000
2025-06-24,60.6062,62.1316,60.3869,61.8824,6021000
2025-06-25,62.341,62.6999,61.9422,62.3609,4530300
2025-06-26,62.4606,63.5673,62.341,63.318,5930300
2025-06-27,63.318,63.4676,62.4606,63.0987,6642300
2025-06-30,63.4077,64.1455,62.9192,63.7966,6074400
2025-07-01,63.4875,64.0159,62.7497,63.647,5360800
2025-07-02,63.4476,65.7307,62.8195,65.5811,7125000
2025-07-03,65.7307,66.628,65.5712,65.8803,5162100
2025-07-07,65.6011,65.9301,64.7636,65.0229,6232200
2025-07-08,65.7307,65.8005,63.4775,63.8265,8355200
2025-07-09,64.1455,64.9232,63.9661,64.4446,8534200
2025-07-10,64.7636,65.4117,64.3848,64.8633,3916700
2025-07-11,64.5543,66.4286,64.0359,65.9401,5339200
2025-07-14,65.8404,67.1464,65.0428,66.7277,5100300
2025-07-15,67.7446,67.8543,66.967,67.3259,6334700
2025-07-16,67.3259,67.3957,65.6011,66.3289,4780100
2025-07-17,66.309,67.4754,66.1494,66.8174,6211300
2025-07-18,67.6549,68.3129,67.0667,67.7944,4275300
2025-07-21,67.9839,68.5621,67.4954,68.5322,4128000
2025-07-22,68.3228,68.5621,65.8404,66.8573,5096700
2025-07-23,67.4056,69.3896,67.3757,69.1105,7210600
2025-07-24,68.9908,69.4096,68.1334,68.8114,8054300
2025-07-25,69.0407,69.5093,66.309,68.612,7880400
2025-07-28,69.1902,69.4096,68.4624,68.7815,4508800
2025-07-29,69.2401,71.0944,69.2002,70.3966,8861400
2025-07-30,69.2401,71.5929,69.0905,71.2141,13984000
2025-07-31,74.0256,78.5618,73.0286,78.4521,24012700
2025-08-01,75.4812,76.7872,74.2648,76.3186,8789800
2025-08-04,77.5349,77.7842,75.8201,77.0564,5097400
2025-08-05,77.7044,77.9736,73.9857,75.6108,5898200
2025-08-06,75.7005,76.2289,73.2878,73.557,7647000
2025-08-07,73.4872,74.3845,73.218,74.215,6938300
2025-08-08,74.7035,75.5709,74.2648,74.7434,4983600
2025-08-11,75.0923,76.4382,74.1452,74.4144,7304300
2025-08-12,74.6736,75.7005,74.3944,75.6805,7694700
2025-08-13,76.0494,76.9467,75.4413,75.8401,5298600
2025-08-14,75.0524,76.3784,74.4941,76.0095,6621400
2025-08-15,76.2688,76.3485,74.3147,74.8331,4258400
2025-08-18,74.5639,76.189,74.4044,76.0594,5191900
2025-08-19,75.6706,76.2289,74.883,75.6307,3770800
2025-08-20,75.4512,75.4512,72.9189,75.4114,5478100
2025-08-21,75.521,75.7703,74.195,74.4343,5490400
2025-08-22,74.554,77.1162,74.3446,76.7373,6521300
2025-08-25,76.7373,79.5987,76.4682,78.9805,5401400
2025-08-26,78.8609,80.0573,78.8609,79.4691,8724600
2025-08-27,80.0074,80.5558,79.3095,80.4261,5536600
2025-08-28,80.6555,81.9117,80.4561,81.792,4557500
2025-08-29,81.3234,82.0712,79.5588,80.0971,5004400
2025-09-02,78.2827,81.6923,77.6645,81.6624,5777800
2025-09-03,83.8458,86.0192,83.0881,85.74,12194800
2025-09-04,86.2291,90.7307,85.76,90.3215,13542500
2025-09-05,92.3178,92.9266,91.2597,91.8686,20310400
2025-09-08,92.3677,93.3259,91.4793,93.1163,8499400
2025-09-09,92.8268,95.1924,92.5274,94.364,7195000
2025-09-10,95.7114,96.0009,93.7451,94.8431,8398400
2025-09-11,96.6896,97.5979,94.2342,95.971,6985100
2025-09-12,96.0308,98.6759,95.8013,97.4781,6753100
2025-09-15,100.2629,103.5867,99.8138,102.1993,12523300
2025-09-16,102.3391,103.7864,101.2511,102.898,8734900
2025-09-17,102.0396,102.2093,99.5343,100.752,8787600
2025-09-18,102.2692,105.9124,101.8101,104.9542,10389100
2025-09-19,105.6828,106.9804,105.1239,106.4314,11030700
2025-09-22,107.0104,112.6199,107.0104,112.2007,9686300
2025-09-23,112.2705,113.5482,109.1963,110.0447,7375500
2025-09-24,110.6336,112.5999,108.7072,109.4857,8412700
2025-09-25,106.4215,108.4976,106.0921,107.0104,8499400
2025-09-26,107.2699,107.8588,105.2237,106.681,5520000
2025-09-29,111.8114,117.92,111.6218,116.5226,14023900
2025-09-30,117.5906,122.3617,117.2313,119.8364,13861700
2025-10-01,117.9599,130.8758,117.2912,130.3468,18540400
2025-10-02,135.7567,137.1441,128.1908,131.0156,15306200
2025-10-03,131.4947,135.9664,129.6881,131.0655,8465900
2025-10-06,134.7486,135.9464,124.7073,125.0467,13060300
2025-10-07,127.2326,127.4023,117.5906,119.7067,13674300
2025-10-08,120.5451,123.0704,119.1876,120.9543,7191700
2025-10-09,119.5569,120.615,117.7803,119.4771,6234300
2025-10-10,119.7765,121.7229,114.8158,115.2051,7046200
2025-10-13,122.0224,122.3318,115.794,118.6387,8388900
2025-10-14,115.8938,117.0616,112.3105,112.9193,7844200
2025-10-15,116.4827,120.4154,113.2886,120.2157,9943300
2025-10-16,123.0404,130.1572,122.1721,125.6855,13878600
2025-10-17,124.6375,128.8796,123.2201,125.965,6868400
2025-10-20,128.6999,131.7542,119.6268,121.3037,10172200
2025-10-21,121.2438,121.7628,119.3773,121.1839,4594400
2025-10-22,120.9444,124.887,117.0117,120.2457,9033800
2025-10-23,121.7229,126.484,121.4933,125.4859,7263500
2025-10-24,129.159,133.2913,128.7897,129.189,6546400
2025-10-27,132.7523,132.8521,122.9905,126.4341,7249300
2025-10-28,126.4641,126.5838,121.6231,124.6874,7031900
2025-10-29,131.1853,145.4087,131.0056,141.1167,18267300
2025-10-30,137.5035,141.7356,134.7586,137.8728,13870700
2025-10-31,155.2104,157.3564,139.889,149.9303,20139900
2025-11-03,151.7868,159.9117,147.7743,157.7258,13275400
2025-11-04,151.0582,154.891,149.7407,151.8966,8870900
2025-11-05,152.9147,165.082,152.6951,159.8019,9749000
2025-11-06,159.6921,167.1881,159.5024,163.2954,8419200
2025-11-07,159.4625,162.936,152.5254,162.6566,9652800
2025-11-10,169.6535,175.9018,169.0047,173.8956,11230700
2025-11-11,171.2306,178.1177,169.3241,169.6735,9244000
2025-11-12,169.4139,175.293,164.7227,165.8007,9868300
2025-11-13,162.1475,164.573,154.4918,156.8674,10238600
2025-11-14,150.2996,161.3789,149.8005,157.5361,9677800
2025-11-17,155.2204,167.1781,155.2204,162.1475,8774200
2025-11-18,158.0651,161.0196,150.4693,152.5754,9321300
2025-11-19,152.5754,156.3483,149.8005,153.6833,6499100
2025-11-20,162.3771,163.475,137.3737,139.9689,11373600
2025-11-21,140.2783,141.2265,132.1834,138.9308,11191100
2025-11-24,142.2846,152.4156,142.2846,150.6489,10818400
2025-11-25,149.7207,155.7195,147.425,155.1206,5467700
2025-11-26,156.6877,161.0096,156.0688,157.4463,4853800
2025-11-28,159.702,163.3652,156.498,163.0258,3232100
2025-12-01,159.9017,164.9423,156.9372,163.2355,7882200
2025-12-02,166.689,169.404,155.979,159.6921,7657400
2025-12-03,159.223,159.2529,151.138,155.3003,6756400
2025-12-04,154.7459,161.3588,152.8479,160.8294,6303300
2025-12-05,161.8283,169.2904,161.8283,168.711,5815300
2025-12-08,170.7489,172.8167,166.5733,169.6001,4272200
2025-12-09,169.5202,171.6679,166.7032,169.3604,3709900
2025-12-10,169.5302,182.2767,168.721,181.7572,7966000
2025-12-11,176.6327,188.57,173.2662,187.0016,7468900
2025-12-12,184.1447,185.6231,169.8398,176.1531,9677900
2025-12-15,178.1011,180.7882,171.638,171.8577,5781900
2025-12-16,171.8977,177.1921,170.5591,174.395,5857000
2025-12-17,179.7094,181.4775,165.2947,166.0838,6693100
2025-12-18,174.6148,181.2977,174.2452,174.8246,9147100
2025-12-19,176.6426,185.0737,175.4938,180.8881,36269600
2025-12-22,186.2724,186.9816,171.6679,176.5727,8685200
2025-12-23,175.334,178.211,174.3151,178.0611,3721100
2025-12-24,179.0201,182.3566,177.5916,179.3697,3067000
2025-12-26,182.1168,182.3266,178.0012,181.3476,3351600
2025-12-29,178.8103,184.5742,176.5128,179.4896,3906300
2025-12-30,180.079,181.2677,175.0743,175.8734,6008000
2025-12-31,176.5827,176.8125,171.0785,172.0875,3552200
2026-01-02,177.0122,187.571,176.5128,187.5011,6808300
2026-01-05,192.9653,195.6525,182.6063,187.6809,9826700
2026-01-06,189.4191,220.9956,188.1604,219.1476,17178400
2026-01-07,211.7654,212.6245,194.9132,199.6682,14305000
2026-01-08,200.2975,200.6871,180.5085,187.4811,11902300
2026-01-09,187.651,200.7071,185.8029,200.2476,9887700
2026-01-12,193.295,213.2038,193.295,211.9152,7465400
2026-01-13,209.0383,217.769,208.2591,213.7732,6485600
2026-01-14,213.7732,218.2884,209.9173,214.7722,5611900
2026-01-15,223.6628,230.2358,220.7658,221.8647,7536200
2026-01-16,228.5476,229.7463,216.6003,221.2753,8972800
2026-01-20,220.5661,230.026,219.7669,222.7337,7125400
2026-01-21,227.7684,244.6405,225.8604,241.6437,9447100
2026-01-22,246.4486,247.6773,228.108,243.0322,8926900
2026-01-23,240.4949,242.9923,231.954,236.1395,6115700
2026-01-26,235.8498,250.1746,234.0717,240.5948,7128300
2026-01-27,243.8314,256.2282,243.4418,252.3923,7483000
2026-01-28,263.1708,283.6991,260.5236,279.4036,16090500
2026-01-29,284.698,285.1176,268.0657,278.115,15770500
2026-01-30,277.9452,283.3994,237.3283,249.9649,21695100
2026-02-02,243.5017,275.4079,241.1143,269.9437,16019300
2026-02-03,279.2138,296.1858,271.4121,289.9324,15378400
2026-02-04,285.0676,294.6774,254.0605,269.1245,14795800
2026-02-05,255.7986,269.594,254.6399,259.9143,10663900
2026-02-06,270.2034,283.6291,261.7224,282.2805,9913300
2026-02-09,279.4935,295.117,271.2423,285.687,8044900
2026-02-10,279.7333,283.5192,260.4737,262.2818,9560700
2026-02-11,274.7885,279.4936,266.0578,273.45,9362700
2026-02-12,284.698,307.1742,282.7001,283.799,16651700
2026-02-13,272.8006,289.3531,266.1776,281.2816,9901700
2026-02-17,277.0661,288.0345,271.7118,283.8089,5524200
2026-02-18,288.6938,309.5716,284.4882,296.2458,12173000
2026-02-19,294.7174,299.2027,281.3816,284.3684,10399800
2026-02-20,277.7454,297.1848,277.7454,285.2174,10510500
2026-02-23,283.3195,294.5076,277.8852,280.1229,8617300
2026-02-24,281.6413,283.6991,267.5662,270.2833,8679700
2026-02-25,280.2028,297.2447,279.8432,290.6417,10801200
2026-02-26,285.8468,289.6927,270.2733,281.9509,10841400
2026-02-27,275.5077,287.525,273.8096,279.4036,9899000
2026-03-02,270.2134,283.6192,261.2229,269.7938,7408700
2026-03-03,254.3003,256.7676,243.9812,250.3445,9983000
2026-03-04,256.7277,272.471,253.8308,261.0231,9724800
2026-03-05,256.9005,269.4532,251.5236,258.8794,6296300
2026-03-06,249.8346,259.0093,244.058,245.1074,6352700
2026-03-09,239.0509,262.0075,237.8616,261.9076,10377400
2026-03-10,268.2939,280.5868,265.4955,266.0652,9668000
2026-03-11,269.6431,272.8413,263.6066,268.6537,5672200
2026-03-12,265.5055,268.6437,257.1504,261.0281,5426400
2026-03-13,265.8254,278.2781,265.1857,272.1317,8201200
2026-03-16,282.6256,289.7014,278.6079,286.0435,8565000
2026-03-17,288.1524,314.7369,284.5545,313.6275,14247500
2026-03-18,309.37,319.4342,300.4252,304.7227,12453900
2026-03-19,291.9002,319.0144,288.8619,316.7457,9092000
2026-03-20,309.34,312.808,291.0107,292.9296,12877100
2026-03-23,298.4363,316.7457,282.9953,294.6186,8990500
2026-03-24,294.3487,301.1748,280.0371,300.8749,7194700
2026-03-25,291.8302,300.5451,280.5867,295.9678,7642100
2026-03-26,286.6233,291.6403,272.6714,273.1911,9726800
2026-03-27,274.7402,282.3357,269.843,275.1799,6956000
2026-03-30,282.2658,286.7032,248.9152,251.5237,9063600
2026-03-31,258.8494,270.9324,254.352,270.3327,8781900
2026-04-01,280.3369,304.7727,280.3369,297.5569,12920000
2026-04-02,278.0082,297.9766,277.8383,294.7985,7860400
2026-04-06,303.0037,311.4088,298.9661,303.9731,8532200
2026-04-07,297.6568,312.0185,295.5581,311.7786,5891600
2026-04-08,334.8052,347.7976,331.4672,338.583,9163500
2026-04-09,343.68,344.8993,329.3084,337.6835,6391800
2026-04-10,343.75,349.5466,329.8081,343.2303,6122600
2026-04-13,341.3514,351.6654,339.3026,349.9564,5429400
2026-04-14,358.5414,366.087,341.3014,366.007,7301100
2026-04-15,361.7895,365.2775,351.4056,364.7878,6438800
2026-04-16,362.2992,368.1858,352.9047,361.4797,5887400
2026-04-17,370.1347,378.7596,365.9671,372.3034,5627500
2026-04-20,375.7714,380.4287,366.1869,373.8925,5410700
2026-04-21,376.7808,389.4834,369.2851,383.5868,6125700
2026-04-22,398.3382,401.7662,381.538,388.8737,7001900
2026-04-23,386.775,416.1279,385.5857,402.8856,6774800
2026-04-24,409.8715,414.259,399.8174,403.7651,5603000
2026-04-27,411.4906,413.7593,396.0496,400.497,5788200
2026-04-28,383.9566,396.0995,373.8025,390.7626,7285500
2026-04-29,424.1033,441.733,409.8116,412.52,10458100
2026-04-30,426.8816,438.6048,421.7546,434.2673,11700600
2026-05-01,405.9838,446.3603,403.7651,431.2691,15485300
2026-05-04,430.4795,453.5661,428.2608,442.1028,10175700
2026-05-05,455.535,479.8308,454.9253,464.9895,9794500
2026-05-06,471.7255,483.5886,448.7289,482.869,8338900
2026-05-07,471.7455,475.2935,450.0182,463.6403,7162900
2026-05-08,474.7838,483.3788,469.0471,479.7209,7929800
2026-05-11,488.7457,524.8447,487.7163,515.5301,10022600
2026-05-12,497.5605,508.3043,466.5286,488.4558,7773000
2026-05-13,503.0273,503.3671,475.0936,493.8027,5772800
2026-05-14,484.4781,507.6746,480.0607,488.8656,5540900
