Date,Open,High,Low,Close,Volume
2024-08-26,86.9146,87.438,86.709,86.924,1266600
2024-08-27,86.8492,87.1576,86.3913,86.5501,1134100
2024-08-28,86.8866,87.6436,86.438,86.7184,1994900
2024-08-29,86.6529,86.8212,85.8772,86.6997,1449100
2024-08-30,86.6342,87.2417,86.6342,86.9426,2336800
2024-09-03,86.9426,88.0454,86.8305,87.5034,1998100
2024-09-04,87.6996,88.7744,87.5127,88.3538,1471300
2024-09-05,88.7837,89.1669,88.251,88.4847,2515800
2024-09-06,88.6435,88.8585,87.5221,87.5221,1591600
2024-09-09,87.6342,88.737,87.5127,88.6529,1827500
2024-09-10,88.7277,89.8585,88.6529,89.2978,2167500
2024-09-11,89.0548,89.1576,88.1669,88.98,1988400
2024-09-12,88.9239,89.3538,87.9707,88.7931,1607500
2024-09-13,89.008,89.5968,88.5407,89.5781,1841900
2024-09-16,89.9052,90.3258,89.6062,89.8492,1671500
2024-09-17,89.737,89.9893,89.1108,89.4753,1946500
2024-09-18,89.2978,89.6529,88.4753,89.008,1575100
2024-09-19,88.3071,88.6342,87.3539,87.6436,2141600
2024-09-20,88.0454,88.6435,87.6436,88.5221,3283300
2024-09-23,88.7557,89.251,88.5221,88.952,1531700
2024-09-24,88.3912,89.4286,87.9987,88.3538,3039900
2024-09-25,88.952,89.0828,87.8024,88.4099,1283900
2024-09-26,87.8211,89.1015,87.8211,88.4193,1973000
2024-09-27,88.6903,89.4192,88.3819,89.0267,1308100
2024-09-30,89.466,90.0734,88.5594,89.8865,2119700
2024-10-01,90.0921,90.7276,89.4286,90.4192,2384200
2024-10-02,89.6248,90.251,89.3445,89.9613,2538100
2024-10-03,90.2323,90.2323,89.6249,90.008,1417400
2024-10-04,89.0174,89.4473,88.6249,89.2323,1460800
2024-10-07,88.9333,88.9426,87.5781,87.98,1804900
2024-10-08,88.6155,88.9987,87.8866,88.1763,1577700
2024-10-09,88.1763,88.7931,87.7557,88.1389,3125900
2024-10-10,88.4193,88.7557,87.7464,87.8024,3258000
2024-10-11,88.1856,89.3164,87.8492,89.2043,1766600
2024-10-14,89.4192,90.0641,89.0548,89.9987,1401700
2024-10-15,90.7089,91.6248,90.494,90.8585,2376200
2024-10-16,91.2416,92.4566,90.8959,92.2884,2533400
2024-10-17,92.5687,92.8304,91.8117,92.6528,2100800
2024-10-18,92.9425,93.4472,92.2229,93.3164,2059700
2024-10-21,93.4379,93.7463,92.6435,92.9239,1632400
2024-10-22,92.737,92.9332,91.8211,92.2323,1527700
2024-10-23,92.3631,93.0547,92.1014,93.0173,1430300
2024-10-24,92.9799,93.3351,91.9986,92.3444,2253800
2024-10-25,92.7837,92.8678,90.7463,90.8304,1695400
2024-10-28,90.8398,91.4846,90.4753,90.6529,1369400
2024-10-29,90.0734,90.251,89.008,89.0921,1654500
2024-10-30,89.5968,89.9146,88.7557,89.7463,2989700
2024-10-31,90.3164,90.9332,89.0454,89.2791,3471800
2024-11-01,92.1295,92.1295,88.8678,89.3164,3176900
2024-11-04,89.1108,89.737,87.9894,88.6996,2500400
2024-11-05,88.7183,89.8678,88.2791,89.8117,2267900
2024-11-06,88.9987,90.1202,88.2323,89.7277,2846700
2024-11-07,89.7277,90.1389,88.9333,89.0921,2501100
2024-11-08,89.6342,91.3912,89.2043,91.2043,2484900
2024-11-11,90.8865,92.6435,90.8865,92.2416,2150300
2024-11-12,92.0827,92.4379,91.2977,91.4472,1820700
2024-11-13,91.8958,92.008,90.6622,91.2416,2458100
2024-11-14,91.1615,91.548,90.464,90.6148,1466300
2024-11-15,90.6337,92.6415,90.6337,92.3587,2087400
2024-11-18,92.3869,93.7066,92.123,93.5841,1959000
2024-11-19,93.6029,93.6029,92.7169,93.3673,1582600
2024-11-20,93.1222,93.6123,92.9808,93.5746,1934300
2024-11-21,93.3673,95.2054,92.9902,95.1677,1928800
2024-11-22,95.3562,95.6107,94.8001,94.8849,1304600
2024-11-25,95.2054,95.7615,94.6115,95.5353,2264800
2024-11-26,95.5919,95.8464,95.1017,95.7238,1197400
2024-11-27,96.148,96.8927,95.7615,95.9783,1308000
2024-11-29,95.9972,96.0443,94.998,95.2525,1037800
2024-12-02,95.2996,95.3468,93.8763,93.9423,1513000
2024-12-03,94.3665,94.7718,92.5566,92.5849,1361300
2024-12-04,92.9337,93.0091,91.6988,92.7074,1774600
2024-12-05,92.6509,92.9902,91.9345,92.1136,1445200
2024-12-06,92.7263,92.9337,91.4255,91.5197,1468600
2024-12-09,91.5763,91.9533,90.7562,91.5386,1234900
2024-12-10,91.2369,92.0476,89.8135,91.5763,1792300
2024-12-11,91.6234,91.7742,89.8607,90.1246,1444300
2024-12-12,90.9824,91.2086,90.2095,90.3603,1681000
2024-12-13,90.0398,90.9447,89.9267,90.2472,1445100
2024-12-16,90.1058,90.3414,89.4742,89.4836,2399300
2024-12-17,88.8332,90.2566,88.5599,89.2763,1597500
2024-12-18,89.2009,89.4177,87.5607,87.6078,1506000
2024-12-19,87.7586,89.0406,87.2119,87.9095,2143800
2024-12-20,87.5513,89.2574,87.523,89.0783,3160400
2024-12-23,89.0783,89.4177,88.1922,89.3988,1083000
2024-12-24,89.2763,89.6722,88.8426,89.5873,533300
2024-12-26,89.2951,89.8418,89.0123,89.4271,774500
2024-12-27,88.7767,90.0209,88.6824,89.38,823100
2024-12-30,89.0783,89.116,88.2676,88.8049,1056800
2024-12-31,88.8049,89.2574,88.1074,88.6447,1087200
2025-01-02,89.7382,89.7759,88.475,88.5976,955900
2025-01-03,88.6447,89.2197,88.3242,88.409,1522800
2025-01-06,88.1357,88.2394,86.6652,86.8349,1632600
2025-01-07,86.9103,88.8426,86.6652,87.8435,2367500
2025-01-08,87.7209,89.3799,87.5512,89.314,2033100
2025-01-10,88.5033,89.2103,87.966,88.0508,2397700
2025-01-13,88.2865,88.541,87.523,88.5033,1668700
2025-01-14,88.4373,89.6345,88.3054,89.1537,1934300
2025-01-15,90.1906,90.6619,89.4836,90.0869,1418900
2025-01-16,89.691,92.8394,89.691,92.7451,1646900
2025-01-17,92.5189,93.914,92.2644,93.3484,2024200
2025-01-21,93.8857,95.0451,93.7443,94.4796,2205200
2025-01-22,94.2533,94.2533,91.9439,91.9816,1958800
2025-01-23,92.2927,92.4718,91.68,91.7271,1771300
2025-01-24,91.3123,92.7263,91.1898,92.3869,1898100
2025-01-27,93.273,95.1865,91.8968,95.0923,2826700
2025-01-28,94.7435,94.9603,92.9242,93.2447,2854900
2025-01-29,93.2259,93.9894,92.2833,92.4058,2358400
2025-01-30,93.3013,94.0083,93.0091,93.7443,2007000
2025-01-31,93.6312,93.9423,93.0939,93.5652,4608000
2025-02-03,92.9525,95.196,92.6603,94.6869,2500700
2025-02-04,91.925,94.4701,90.841,93.5275,3568900
2025-02-05,94.8001,95.5447,94.0083,95.1017,2398600
2025-02-06,95.2242,95.2242,94.3099,95.0074,1396700
2025-02-07,94.8472,96.0349,94.3005,95.9501,2140300
2025-02-10,95.7332,96.0066,94.1591,95.4128,2426400
2025-02-11,95.064,96.8456,94.4513,96.8079,2648800
2025-02-12,95.6861,96.7042,95.3751,96.5534,2567400
