Date,Open,High,Low,Close,Volume
2024-09-23,198.2043,200.9387,197.6904,200.8127,1482500
2024-09-24,200.2406,201.8502,199.8624,201.2199,1269700
2024-09-25,201.7339,202.2962,200.5994,201.3848,1272200
2024-09-26,200.7448,202.655,198.9801,199.1061,1628900
2024-09-27,198.7765,200.8127,198.7765,199.271,1489900
2024-09-30,199.0867,201.5011,199.0867,201.2975,1530400
2024-10-01,201.1618,201.7435,199.5909,201.6175,951900
2024-10-02,202.1702,202.6162,199.9109,201.026,909300
2024-10-03,201.0939,202.8877,199.9497,202.7423,1019900
2024-10-04,201.8696,202.8004,200.7545,201.7726,985000
2024-10-07,199.3194,200.4539,198.3207,199.174,2007400
2024-10-08,200.4248,202.6259,199.9012,202.3447,1172900
2024-10-09,202.6744,206.1069,201.986,205.787,1263700
2024-10-10,206.1457,207.0863,204.507,204.827,893500
2024-10-11,205.4767,205.9033,204.3713,205.3797,956400
2024-10-14,205.9033,207.7456,205.37,207.0184,982100
2024-10-15,208.0268,209.4522,206.9505,207.2996,1180400
2024-10-16,206.7469,207.6971,206.0682,206.6693,718600
2024-10-17,207.6293,207.9783,205.6997,206.6111,847100
2024-10-18,206.9117,207.0184,205.5639,206.2912,816100
2024-10-21,206.1069,206.4657,203.9834,205.3894,1033000
2024-10-22,204.1967,205.2246,203.1301,204.6428,896300
2024-10-23,203.9058,205.9324,203.4404,205.37,1240000
2024-10-24,204.5361,204.5361,202.1217,202.5677,1113000
2024-10-25,202.8683,203.4113,200.1921,200.5218,1069900
2024-10-28,201.6854,202.5289,200.7157,201.9375,2127200
2024-10-29,206.902,213.2047,205.7191,212.4581,3231300
2024-10-30,210.9066,212.2157,207.988,208.2983,1720700
2024-10-31,207.8135,210.1212,207.6971,209.2971,1785500
2024-11-01,210.3249,210.7321,207.2899,207.4935,1267600
2024-11-04,209.1322,210.16,206.0293,207.7359,1112800
2024-11-05,207.9395,209.714,206.8729,209.3261,950000
2024-11-06,213.2338,213.612,209.8497,211.8472,2905700
2024-11-07,212.3611,214.184,210.8679,213.7477,1370000
2024-11-08,215.1537,219.4879,213.7477,217.3159,1854100
2024-11-11,218.7704,219.6237,216.5985,216.8312,1084800
2024-11-12,218.1693,219.5558,217.0154,217.9559,2002200
2024-11-13,218.2468,219.9534,217.4323,218.8286,1087000
2024-11-14,217.8396,218.7026,214.8434,214.9888,1215800
2024-11-15,212.8459,214.8046,210.6545,211.2848,1796500
2024-11-18,210.7127,212.8071,210.4897,211.6823,986700
2024-11-19,210.4121,213.0399,209.4425,212.3999,1370700
2024-11-20,213.3695,213.6895,210.3927,212.1381,1059000
2024-11-21,212.2544,215.5221,210.8,214.8046,1651800
2024-11-22,216.007,217.859,215.0858,217.5972,1624600
2024-11-25,217.9947,220.0698,217.6844,218.7995,2930500
2024-11-26,220.0795,221.5921,219.0226,220.5449,1211000
2024-11-27,222.1933,223.3956,221.3885,221.5242,1366000
2024-11-29,222.2417,223.2793,221.1267,221.2915,1254600
2024-12-02,221.4176,221.4661,217.9172,218.2856,1397400
2024-12-03,218.4214,219.1486,217.6844,218.179,1944900
2024-12-04,217.5875,218.9741,217.3935,218.4505,1848900
2024-12-05,217.442,217.6553,216.4045,217.2481,1185000
2024-12-06,218.2502,219.0674,215.8374,216.1682,1787800
2024-12-09,215.1563,216.8005,210.9437,211.5761,1652600
2024-12-10,212.5295,212.5295,210.0292,210.2238,2098300
2024-12-11,210.7297,211.0605,207.7137,208.7061,1676500
2024-12-12,209.2411,210.214,208.2001,208.6379,1425900
2024-12-13,208.5407,208.9201,206.4587,207.4218,1344400
2024-12-16,208.0639,208.9882,205.7387,205.9041,1480900
