Date,Open,High,Low,Close,Volume
2024-08-05,294.6655,301.9005,291.6542,299.7339,981200
2024-08-06,302.2682,308.4895,299.9427,302.5763,711800
2024-08-07,302.3179,302.4868,291.5151,291.9524,557500
2024-08-08,296.047,297.5476,289.3586,291.2071,731800
2024-08-09,290.6207,292.5387,281.4279,286.069,886400
2024-08-12,286.0889,289.0803,283.5547,288.7623,409400
2024-08-13,289.3288,294.109,289.3288,293.5922,436900
2024-08-14,293.1947,293.6021,288.4542,290.402,217400
2024-08-15,293.6718,294.0494,288.335,290.7897,420900
2024-08-16,290.0741,298.77,289.7561,298.5513,461500
2024-08-19,298.1438,300.0619,295.7686,299.8134,294800
2024-08-20,300.1215,301.0756,296.9016,297.2693,315800
2024-08-21,299.1973,302.9241,298.5016,302.4272,195700
2024-08-22,304.9415,304.9415,295.4804,298.6606,343100
2024-08-23,300.5985,303.2818,298.6308,300.9066,300300
2024-08-26,301.6421,303.8483,298.9786,301.6122,236200
2024-08-27,301.811,302.5762,299.396,300.7576,267000
2024-08-28,300.3501,300.3501,293.453,295.7686,337200
2024-08-29,298.0346,314.0051,298.0346,312.8424,582900
2024-08-30,314.3331,317.7816,310.0398,311.6895,590500
2024-09-03,310.0199,316.0821,300.5389,302.2682,383300
2024-09-04,302.0694,306.0049,299.406,302.8347,354100
2024-09-05,301.2744,301.2744,295.8979,298.442,288800
2024-09-06,296.6631,301.652,292.6879,295.4009,293100
2024-09-09,296.5637,303.6198,291.4456,300.1613,431500
2024-09-10,299.6743,304.216,297.1003,303.6595,304800
2024-09-11,303.1229,303.5999,293.6816,300.4793,283200
2024-09-12,299.6346,300.2706,294.3376,295.6395,364400
2024-09-13,296.2556,299.8731,295.9774,298.8097,392800
2024-09-16,300.4992,300.5091,293.3636,294.9438,425400
2024-09-17,297.5476,297.5476,291.1077,294.0294,356500
2024-09-18,295.7686,311.3516,294.1686,307.2671,693100
2024-09-19,313.1405,318.0102,308.8572,309.2746,371200
2024-09-20,307.9429,309.9702,304.3154,306.2434,732100
2024-09-23,305.667,307.9925,303.3216,304.8322,354000
2024-09-24,306.631,307.9329,302.9539,307.7938,326100
2024-09-25,308.2907,309.046,300.529,301.4532,412000
2024-09-26,305.1403,306.3826,302.5762,305.2397,405600
2024-09-27,307.6347,312.6137,306.0148,309.0758,337400
2024-09-30,309.3839,310.7156,296.852,298.3029,585100
2024-10-01,298.7103,299.9029,293.2344,297.9451,530600
2024-10-02,297.3289,301.4234,295.3512,297.955,281800
2024-10-03,296.355,300.688,295.4307,295.4705,321900
