Date,Open,High,Low,Close,Volume
2024-08-20,28.348,28.4138,27.8972,28.2823,3717400
2024-08-21,28.3574,28.5829,28.0475,28.5641,3161200
2024-08-22,28.5547,28.5735,28.2353,28.4232,3398300
2024-08-23,28.5547,29.5785,28.5265,29.4564,3294900
2024-08-26,29.6349,29.6349,29.1277,29.1934,2709500
2024-08-27,28.9774,28.9961,28.7238,28.7425,2956200
2024-08-28,29.0243,29.0713,28.5922,28.7801,3662000
2024-08-29,28.8177,28.9116,28.5641,28.6392,2943900
2024-08-30,28.8283,28.8567,28.4974,28.8283,5278100
2024-09-03,28.573,29.0363,28.5258,28.6298,4106000
2024-09-04,28.6014,28.9512,28.3839,28.5068,2879500
2024-09-05,28.7149,28.8472,28.5068,28.5258,3838000
2024-09-06,28.5352,28.9607,28.5258,28.6959,4983600
2024-09-09,28.6392,28.7621,28.4123,28.6203,3779700
2024-09-10,28.6581,29.2443,28.4974,29.2065,3241600
2024-09-11,28.781,29.2254,28.6298,29.1782,3741900
2024-09-12,29.1592,29.7076,29.1592,29.6982,5749500
2024-09-13,29.9724,30.7099,29.944,30.6815,4077800
2024-09-16,30.8328,30.9841,30.5964,30.7382,2615000
2024-09-17,31.1353,31.4663,30.9273,31.4379,4597300
2024-09-18,31.5135,31.7026,31.1921,31.2961,4266900
2024-09-19,31.7405,32.0336,31.6365,31.7594,7283500
2024-09-20,31.8256,31.8256,31.2488,31.4284,7981300
2024-09-23,31.6081,31.9012,31.4663,31.7215,3323700
2024-09-24,31.5986,32.1092,31.523,31.939,3528100
2024-09-25,31.8823,31.9579,31.1259,31.1732,5299100
2024-09-26,31.4379,31.7121,31.0881,31.3528,4791200
2024-09-27,31.5324,32.1754,31.2015,31.9106,4729500
2024-09-30,31.7499,32.1659,31.7499,32.0147,4767700
2024-10-01,31.9674,32.1092,31.5041,31.8634,3394100
2024-10-02,31.6175,31.9012,31.5041,31.7877,3259300
2024-10-03,31.6175,31.7215,31.0597,31.1353,3995800
2024-10-04,30.9841,31.2488,30.7099,31.0881,3276900
2024-10-07,30.8328,31.1259,30.5869,31.0597,2913200
2024-10-08,31.0408,31.3717,31.0124,31.3055,2675100
2024-10-09,31.3055,31.419,31.0408,31.2583,5245200
2024-10-10,31.1164,31.2204,30.8422,30.8517,2597400
2024-10-11,30.9841,31.2772,30.9084,31.2299,2270100
2024-10-14,31.0786,31.2488,30.7571,30.8139,4762100
2024-10-15,31.0597,31.6365,30.9746,31.2488,4210000
2024-10-16,31.419,31.7405,31.4001,31.627,2331000
2024-10-17,31.3433,31.4284,30.8706,31.0124,2378000
2024-10-18,31.0597,31.2677,30.9084,31.2583,2538600
2024-10-21,31.211,31.3055,30.4924,30.5302,2221800
2024-10-22,30.36,30.4073,29.8967,29.9251,4820800
2024-10-23,29.9156,30.2182,29.8022,30.1142,3412300
2024-10-24,30.256,30.3884,30.1142,30.3789,3803500
2024-10-25,30.2277,30.4829,29.5469,30.0669,4276900
2024-10-28,30.3033,30.7099,30.1898,30.2087,2884100
2024-10-29,29.84,29.9818,28.8472,29.1971,7199300
2024-10-30,29.32,30.048,29.2065,29.9913,4218100
2024-10-31,29.8967,30.0858,29.424,29.4618,3988100
2024-11-01,29.7171,29.944,29.4523,29.4807,3007000
2024-11-04,29.5753,30.1898,29.4618,29.9818,2496500
2024-11-05,29.8211,30.1426,29.6698,30.1331,2459600
2024-11-06,30.2087,30.256,29.32,29.7076,5312500
2024-11-07,29.8022,30.3033,29.6509,30.0102,3639600
2024-11-08,29.9724,30.4073,29.8873,30.152,2669600
2024-11-11,30.048,30.3033,29.5942,29.6414,2581500
2024-11-12,29.4145,29.7265,28.989,29.008,2898700
2024-11-13,29.2916,29.4618,29.1214,29.2065,2429700
2024-11-14,28.989,29.3389,28.989,29.1782,2965000
2024-11-15,29.1876,29.3862,29.0552,29.2443,2916600
2024-11-18,29.1403,29.4807,29.1025,29.3294,1918400
2024-11-19,29.1309,29.2822,28.8472,29.008,1639000
2024-11-20,28.9607,29.1498,28.6959,28.9985,3593400
2024-11-21,28.9512,29.0931,28.7621,28.9323,2763400
2024-11-22,29.1214,29.5753,28.9796,29.5374,2514100
2024-11-25,29.8589,30.8044,29.7833,30.4735,7706000
2024-11-26,30.3411,30.4168,29.9346,30.1709,2365400
2024-11-27,30.4168,30.7193,30.3506,30.5869,2785100
2024-11-29,30.958,30.9675,30.6345,30.6916,2107900
2024-12-02,30.5013,30.5774,30.2444,30.4157,3190100
2024-12-03,30.4633,30.5394,30.0637,30.1779,2492800
2024-12-04,30.0066,30.1969,29.4072,29.7212,3308000
2024-12-05,29.607,29.7022,29.2265,29.4548,2066900
2024-12-06,30.4728,31.1102,29.6165,29.7688,3395100
2024-12-09,29.8829,30.3491,29.8639,30.1969,3266500
2024-12-10,30.1398,30.3776,29.236,29.4167,3349400
2024-12-11,29.5785,29.6451,29.2455,29.3882,5665200
2024-12-12,29.2836,29.6165,28.903,28.922,2848500
2024-12-13,28.8364,28.9125,28.3417,28.5986,3176000
2024-12-16,28.6461,28.6556,28.18,28.2085,3076700
2024-12-17,27.8375,28.1324,27.5901,27.9516,3853000
2024-12-18,27.885,28.0277,26.5911,26.6007,3942000
2024-12-19,26.4009,26.6577,25.8586,25.8871,4919000
2024-12-20,25.9442,26.5245,25.8871,26.163,11435500
2024-12-23,26.2582,26.7529,26.0964,26.7148,3546700
2024-12-24,26.4484,26.8861,26.4009,26.8861,1780100
2024-12-26,26.6863,26.8766,26.5626,26.8004,1736500
2024-12-27,26.5721,26.9051,26.5341,26.6292,2320500
2024-12-30,26.6102,26.6768,26.1725,26.5341,2914700
2024-12-31,26.7909,26.9336,26.4579,26.7814,3125200
2025-01-02,26.829,27.0668,26.5911,26.6292,3446800
2025-01-03,26.6768,27.1334,26.6007,26.9812,3331700
2025-01-06,26.9622,27.5425,26.9051,27.1144,2886800
2025-01-07,27.1239,27.3427,26.5055,26.6482,2588200
2025-01-08,26.5055,26.5531,26.0108,26.3343,3939100
2025-01-10,26.0679,26.2391,25.7444,25.9632,3529500
2025-01-13,26.0679,27.2666,26.0203,27.2666,4299500
2025-01-14,27.495,27.8184,27.3903,27.552,4151400
2025-01-15,28.4654,28.7318,27.9421,28.1229,4748700
2025-01-16,28.1134,28.5986,27.9802,28.57,2706700
2025-01-17,28.6556,29.0647,28.5795,28.7318,4302200
2025-01-21,28.922,29.1408,28.4844,28.9411,4468800
2025-01-22,28.7698,28.7698,28.2751,28.3131,3195900
2025-01-23,28.3036,28.7317,28.199,28.4844,2434200
2025-01-24,28.4463,28.7698,28.2465,28.532,2300700
2025-01-27,28.8459,29.5309,28.7793,29.3501,3613400
2025-01-28,29.0742,29.3501,28.9125,29.274,3276800
2025-01-29,29.1789,29.5785,29.0077,29.0552,3771800
2025-01-30,29.4263,29.6356,29.0267,29.4548,4169300
2025-01-31,29.0933,29.4453,28.6842,29.1313,5592900
2025-02-03,29.255,29.9495,29.2074,29.255,6646800
2025-02-04,29.0838,29.1218,28.6461,28.6747,4699100
2025-02-05,29.0172,29.0552,28.589,28.8649,2721000
2025-02-06,29.1313,29.1694,28.7222,28.9506,2109400
2025-02-07,28.903,29.0077,28.5415,28.589,2037200
2025-02-10,28.7888,28.8459,28.4939,28.6556,2590000
2025-02-11,28.4463,28.6271,28.3797,28.5415,3662800
2025-02-12,28.0372,28.199,27.9136,28.1514,2066900
2025-02-13,28.2656,28.3607,27.9897,28.2561,2324500
2025-02-14,28.4844,28.7983,28.1324,28.1704,2638800
2025-02-18,28.0563,28.3322,27.7994,28.2846,2892100
2025-02-19,28.1038,28.199,27.6091,27.7804,4486300
2025-02-20,27.8755,28.532,27.7709,28.5129,5923700
2025-02-21,28.6366,28.8459,28.0182,28.2656,4549800
2025-02-24,28.3036,28.7127,28.1799,28.5224,2669400
2025-02-25,28.6842,29.0552,28.5605,28.7318,4446600
2025-02-26,28.7222,28.8459,28.3322,28.3797,2097300
2025-02-27,28.2465,28.6652,28.1895,28.5986,3217200
2025-02-28,28.8459,28.9791,28.4273,28.6366,5766800
2025-03-03,28.7603,30.1017,28.7317,29.8639,6490600
2025-03-04,29.8734,30.1208,29.2265,29.2931,4294100
2025-03-05,29.1599,29.7688,29.0552,29.4263,3884900
2025-03-06,29.2836,29.3406,28.6176,28.7508,3997300
2025-03-07,28.837,29.4981,28.7412,29.3639,5394200
2025-03-10,29.1723,29.8142,28.7795,28.8083,4753300
2025-03-11,28.9903,29.0478,28.2526,28.3388,4127200
2025-03-12,28.2622,28.4346,27.8023,28.0418,3960600
2025-03-13,28.0035,28.2909,27.649,27.7353,3046000
2025-03-14,27.9748,28.3484,27.7544,28.2334,2103400
2025-03-17,28.2526,29.0094,28.243,28.7029,3217200
2025-03-18,28.7795,28.9041,28.358,28.6071,2931000
2025-03-19,28.5113,28.7891,28.3292,28.655,3033400
2025-03-20,28.6167,28.9328,28.5592,28.8466,3010600
2025-03-21,28.7125,28.7891,27.7353,27.9556,6488100
2025-03-24,27.8406,28.3867,27.8406,28.3197,3092300
2025-03-25,28.2909,28.2909,27.7544,27.9748,2736000
2025-03-26,28.0802,28.2813,27.9748,28.1855,1637400
2025-03-27,28.2622,28.7987,28.0227,28.3484,3197300
2025-03-28,28.2622,28.3771,27.9173,28.1281,2568900
2025-03-31,28.1281,28.2622,27.7065,28.0514,3993600
2025-04-01,28.0418,28.2047,27.4862,27.9173,4859600
2025-04-02,28.0131,28.3484,27.7832,28.243,4215800
2025-04-03,27.8502,27.9173,26.2407,26.279,5364300
2025-04-04,26.4036,26.509,24.9761,25.1581,6634300
2025-04-07,24.8132,25.6371,23.8456,24.4109,6711600
2025-04-08,25.3976,25.5318,23.472,23.7786,5094000
2025-04-09,23.3283,25.618,23.0888,25.4455,5868100
2025-04-10,25.1677,25.2444,23.9989,24.7366,3732300
2025-04-11,24.5833,24.8516,23.8744,24.7174,3635700
2025-04-14,24.9474,25.2539,24.7653,25.024,2571900
2025-04-15,24.9665,25.1677,24.6791,24.7653,3121600
2025-04-16,24.842,24.909,24.3534,24.5162,3956600
2025-04-17,24.5546,24.9761,24.5546,24.727,2651600
2025-04-21,24.363,24.4779,23.4241,23.654,2828300
2025-04-22,23.9606,24.3821,23.8935,24.2001,2950100
2025-04-23,24.5833,25.1102,24.1809,24.248,2427100
2025-04-24,24.3534,24.6599,24.1713,24.43,4047800
2025-04-25,24.1618,24.4109,23.7019,23.769,4584400
2025-04-28,23.7211,24.5641,23.7115,24.4971,7708600
