Date,Open,High,Low,Close,Volume
2024-09-03,130.1671,131.1825,128.262,129.084,1866500
2024-09-04,129.5192,130.5443,129.2774,130.3702,1877000
2024-09-05,130.3605,130.5249,129.4515,130.0704,1570000
2024-09-06,129.993,131.0181,129.171,129.4611,1930100
2024-09-09,129.4031,129.7802,128.0782,128.6584,2379100
2024-09-10,128.6875,129.7512,128.436,128.5134,2174300
2024-09-11,128.0685,129.7996,126.3278,129.6159,2067500
2024-09-12,129.6545,130.7376,128.7455,129.0163,1613600
2024-09-13,129.084,129.5385,128.5521,129.2484,1811500
2024-09-16,130.0027,131.0181,129.3838,130.1284,1929300
2024-09-17,130.1574,130.757,127.8075,127.9912,2009600
2024-09-18,128.0395,128.7165,125.9797,126.2988,2186200
2024-09-19,127.7688,128.1459,125.6896,126.7727,2616500
2024-09-20,126.4535,126.5986,124.4807,125.4381,3272700
2024-09-23,125.5542,126.85,125.4091,126.0764,2140700
2024-09-24,127.3142,129.8576,126.2021,129.3934,2697000
2024-09-25,129.3934,129.6739,127.6624,128.7068,1396100
2024-09-26,129.8576,133.8709,129.8576,133.5228,2573000
2024-09-27,132.9909,135.4086,132.4784,135.3119,2778300
2024-09-30,135.3699,136.8205,134.0257,135.1088,2267200
2024-10-01,135.1861,135.5246,133.8516,134.6543,2070000
2024-10-02,134.1514,135.2925,133.5905,134.9444,1345200
2024-10-03,134.074,134.0934,132.6815,132.6911,1993400
2024-10-04,132.6815,133.2811,131.0665,132.0722,1229600
2024-10-07,131.6564,132.5557,130.4765,131.4049,1473200
2024-10-08,131.5113,132.1109,129.1613,130.2831,1506200
2024-10-09,130.5539,131.666,130.1767,130.3218,1574100
2024-10-10,129.8866,130.3121,128.1362,128.8809,1569900
2024-10-11,129.0743,130.4475,128.9486,129.6062,1334400
2024-10-14,129.3257,130.6989,128.9002,130.2154,1037900
2024-10-15,129.7899,130.2928,128.3103,128.8325,1421700
2024-10-16,127.9235,129.5095,126.734,128.9583,1701700
2024-10-17,129.4225,129.4515,127.7881,129.3257,1701900
2024-10-18,129.9834,130.0704,128.7552,129.848,1243600
2024-10-21,129.1903,130.1381,128.6875,129.5868,1294900
2024-10-22,129.1903,130.0414,128.5134,128.9679,941700
2024-10-23,129.2967,131.1825,128.8809,129.6062,1605100
2024-10-24,129.5869,129.5869,128.0009,128.7745,1275500
2024-10-25,129.6449,129.9446,128.4554,128.6584,956500
2024-10-28,129.848,131.0858,129.4611,130.4185,1318000
2024-10-29,130.1187,130.8053,129.5578,129.5578,1487200
2024-10-30,128.8712,129.8576,128.3683,128.9969,1414700
2024-10-31,129.0743,129.2967,126.705,126.8404,2219000
2024-11-01,127.8461,128.9486,127.4787,127.9815,1888600
2024-11-04,128.1362,129.5868,127.498,128.3877,2670100
2024-11-05,128.8132,132.4397,128.7165,130.2831,3779500
2024-11-06,132.2946,132.2946,126.9758,129.9447,3201200
2024-11-07,130.5539,133.3004,129.9543,132.5461,2338100
2024-11-08,131.8788,133.9,131.0471,132.6911,1726900
2024-11-11,132.2076,134.0063,132.0432,132.1205,1741200
2024-11-12,131.6274,132.0529,129.3838,130.1768,2156200
2024-11-13,130.022,132.5944,129.6932,130.8053,3055000
2024-11-14,130.8344,132.8555,130.8344,132.2366,1797800
2024-11-15,131.4629,133.1456,129.0356,129.1903,1679000
2024-11-18,129.055,130.1187,128.9389,129.5965,1444400
