Date,Open,High,Low,Close,Volume
2024-08-19,344.11,347.02,340.5,347.02,298900
2024-08-20,346.06,348.44,341.27,344.85,431300
2024-08-21,348.69,348.69,343.58,345.0,310700
2024-08-22,346.76,346.92,341.83,342.16,224900
2024-08-23,344.17,351.79,344.17,351.62,196300
2024-08-26,352.97,352.97,346.5,347.69,248200
2024-08-27,345.1,346.17,342.5,346.04,236800
2024-08-28,344.68,347.2,342.0,343.83,211200
2024-08-29,345.44,348.08,342.03,342.27,319200
2024-08-30,345.32,345.66,337.93,345.38,453500
2024-09-03,341.46,342.95,329.32,330.45,467300
2024-09-04,328.74,331.33,326.82,328.87,362400
2024-09-05,326.45,331.0,323.44,329.04,254700
2024-09-06,328.8,330.7,318.01,320.77,690400
2024-09-09,321.59,328.26,321.59,327.93,344100
2024-09-10,329.37,335.09,325.31,334.85,277700
2024-09-11,334.85,337.67,327.4,337.44,305000
2024-09-12,338.81,338.85,334.49,337.04,288100
2024-09-13,339.12,343.51,337.19,337.48,267700
2024-09-16,337.24,344.19,335.86,343.79,242000
2024-09-17,347.07,354.61,345.59,354.52,539900
2024-09-18,354.79,358.76,347.79,351.83,337200
2024-09-19,360.0,366.3,356.04,363.79,490200
2024-09-20,362.43,367.56,360.02,366.76,596300
2024-09-23,367.34,367.89,359.3,362.39,342600
2024-09-24,364.45,365.43,361.32,364.43,230100
2024-09-25,364.63,367.35,363.4,364.97,207100
2024-09-26,370.0,375.88,369.27,371.24,242000
2024-09-27,372.3,374.03,368.27,368.6,213600
2024-09-30,367.08,371.34,367.08,370.32,217400
2024-10-01,369.84,370.25,363.39,364.3,359600
2024-10-02,363.98,370.9,362.22,368.68,283200
2024-10-03,365.99,368.17,362.62,363.89,302800
2024-10-04,369.69,370.45,363.32,366.72,216900
2024-10-07,363.99,365.41,360.57,365.24,268500
2024-10-08,365.33,370.23,364.12,368.97,236700
2024-10-09,368.97,374.86,367.07,373.5,323300
2024-10-10,369.09,371.32,365.44,369.24,311500
2024-10-11,370.68,376.59,370.68,375.02,215400
2024-10-14,374.76,378.78,373.21,377.68,240300
2024-10-15,376.74,380.05,372.89,375.3,302900
2024-10-16,376.2,379.59,374.38,375.5,176900
2024-10-17,375.11,378.5,373.21,373.84,235000
2024-10-18,377.49,378.33,373.89,375.45,222100
2024-10-21,373.7,373.82,370.01,372.59,232900
2024-10-22,370.73,373.42,370.42,372.0,188000
2024-10-23,369.95,373.28,366.1,368.09,224100
2024-10-24,370.94,370.94,361.6,362.05,384200
2024-10-25,363.41,365.65,359.37,360.09,473400
2024-10-28,365.6,367.63,362.59,363.58,715100
2024-10-29,394.57,394.57,378.22,384.68,1319500
2024-10-30,381.36,385.85,378.42,383.89,960400
