Date,Open,High,Low,Close,Volume
2024-08-05,170.7824,172.8277,166.9631,169.464,3197400
2024-08-06,179.3321,184.0045,178.3628,179.6133,3832500
2024-08-07,180.3015,184.3922,178.8475,179.1092,2097100
2024-08-08,179.8265,183.0545,179.8168,182.5311,1734100
2024-08-09,182.5989,183.8203,179.4969,179.5745,1881700
2024-08-12,179.1964,179.5745,176.7536,178.1786,1638100
2024-08-13,178.9638,183.2484,178.9638,182.6086,1732700
2024-08-14,182.2887,182.7249,176.899,177.7618,2153100
2024-08-15,178.8669,180.4663,177.1123,178.4403,1891900
2024-08-16,178.0914,178.9541,176.6664,178.0817,1588400
2024-08-19,178.1689,178.8668,176.9669,178.8281,1637000
2024-08-20,178.8281,179.0995,177.2965,177.9751,1186400
2024-08-21,178.6245,178.8766,176.2496,177.2965,1246800
2024-08-22,177.7909,178.7021,175.9491,176.5888,1135800
2024-08-23,177.2577,177.3353,174.6598,175.3578,1262400
2024-08-26,175.4935,176.996,174.9894,175.9975,1015900
2024-08-27,176.4047,177.4807,175.8618,176.521,1423900
2024-08-28,176.521,178.9541,176.521,177.3062,1485400
2024-08-29,178.2755,179.051,176.8893,177.2868,1359900
2024-08-30,177.4807,178.5761,175.4353,177.8684,2328500
2024-09-03,177.1123,179.0898,176.87,177.946,1680900
2024-09-04,177.5776,181.7652,175.9975,181.5908,1870800
2024-09-05,181.9107,182.2887,180.1464,180.8734,1465700
2024-09-06,181.7168,184.6055,181.329,183.4326,2710100
2024-09-09,184.7121,187.6784,184.2662,185.856,2652700
2024-09-10,185.8559,186.8641,182.0657,185.4973,2675600
2024-09-11,184.8672,185.2937,180.728,184.1693,1387900
2024-09-12,184.1596,185.0223,181.4066,184.8672,1046000
2024-09-13,184.7315,186.7187,184.3147,185.2356,1725200
2024-09-16,186.36,188.4926,185.3519,188.2988,1263400
2024-09-17,188.5217,190.2956,188.0564,189.714,1962900
2024-09-18,190.7706,192.3119,188.4151,190.4604,1993800
2024-09-19,192.1568,194.1925,185.4488,187.3197,2463100
2024-09-20,187.0289,188.5896,185.2162,186.7381,3520700
2024-09-23,186.9029,187.7268,185.2259,187.659,1315700
2024-09-24,188.987,189.714,186.9804,187.7559,2045100
2024-09-25,187.9013,189.7819,184.9545,185.6621,1906300
2024-09-26,186.234,189.1809,185.9917,188.8998,1556100
2024-09-27,189.6559,191.4589,188.4635,188.8416,1343700
2024-09-30,189.0354,189.9951,187.6493,189.3941,1838200
2024-10-01,189.462,189.9951,185.2258,188.4635,1951200
2024-10-02,187.5911,188.4345,185.4004,186.5636,1233300
2024-10-03,186.011,186.4376,184.179,185.1386,1325000
2024-10-04,185.1386,185.9917,183.2096,184.208,1697700
2024-10-07,184.2565,184.2953,180.9219,181.5423,1847300
2024-10-08,181.2709,183.4519,180.9316,181.6295,1990100
2024-10-09,181.5423,184.6055,181.2806,184.3438,965400
2024-10-10,183.9463,184.9254,183.132,184.4504,1153600
2024-10-11,184.3825,186.9126,183.8881,184.2565,1819900
2024-10-14,184.3341,187.1258,183.9754,186.7478,1616400
2024-10-15,186.3891,189.8207,186.0595,186.4957,1414600
2024-10-16,186.1177,189.8788,185.8851,188.483,1591500
2024-10-17,189.714,190.5283,185.0417,185.1483,1701200
2024-10-18,185.3034,187.562,184.6636,187.3585,1576400
2024-10-21,186.583,187.0871,183.3841,183.6458,959500
2024-10-22,182.6377,184.0045,181.4842,183.704,1441900
2024-10-23,183.5973,184.1596,181.8137,183.1999,1339500
2024-10-24,181.8137,182.4826,174.5435,175.9394,4485900
2024-10-25,175.9297,176.4531,174.1654,174.495,2622900
2024-10-28,175.9685,177.4904,175.1639,177.1608,1909700
2024-10-29,176.4337,178.7602,175.4935,175.7164,1696000
2024-10-30,174.4078,178.1786,174.2915,177.1414,1957800
2024-10-31,175.1126,176.434,173.6745,173.7134,2120000
2024-11-01,174.8793,177.9206,174.1215,176.7935,2838600
2024-11-04,171.634,174.0923,168.6705,170.2154,4164000
2024-11-05,169.613,171.7895,167.3685,170.3029,2453800
2024-11-06,173.4608,173.8494,164.5118,165.5417,5362100
2024-11-07,167.6988,169.8365,164.8324,169.3118,3781300
2024-11-08,169.3117,172.081,168.3109,171.8089,3243400
2024-11-11,171.9158,173.3247,170.0405,171.1579,3399500
2024-11-12,170.4195,171.5077,168.8259,169.03,2704100
2024-11-13,170.3514,172.4697,169.9531,172.0227,2375300
2024-11-14,172.4502,173.898,168.8842,169.681,3009800
2024-11-15,168.0972,172.0518,165.9109,170.1765,3426500
2024-11-18,169.1952,172.1782,168.7385,171.4203,3172900
2024-11-19,169.9239,171.498,168.3304,170.5846,2208300
2024-11-20,171.4202,172.3822,168.9036,170.6915,2187300
2024-11-21,170.7207,172.6251,169.6033,171.702,2019500
2024-11-22,171.3523,173.0235,171.2842,171.945,1854600
2024-11-25,171.9838,173.7328,171.1579,173.6454,4558300
2024-11-26,173.3927,173.5871,169.885,170.7207,2539600
2024-11-27,170.3029,174.1895,170.0405,171.7312,2315800
2024-11-29,171.9158,172.7708,170.2737,170.2834,1543400
2024-12-02,170.7984,171.8964,168.8065,171.7992,2391500
2024-12-03,171.702,176.2591,171.5563,171.9255,2679000
2024-12-04,169.6518,173.4413,169.5935,170.3514,2687000
2024-12-05,170.3028,171.5271,168.7968,169.817,2442000
2024-12-06,169.817,172.5182,169.4672,171.4591,2551200
2024-12-09,170.8956,174.685,170.1182,173.1012,2387300
2024-12-10,172.8389,173.451,171.2065,171.702,1678200
2024-12-11,171.2648,173.3247,170.8275,172.149,1782400
2024-12-12,171.9352,174.6073,171.5563,173.7717,1936000
2024-12-13,173.9077,176.6964,171.6243,173.1304,1650300
2024-12-16,172.9458,174.2089,170.8081,170.8275,1938800
2024-12-17,170.0405,172.2948,164.7158,165.9498,3018300
2024-12-18,165.2502,166.0956,162.1701,162.2769,2728300
